"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Phuentsholing45015.5445.022Rinchending4509645.13Pasakha45149.6445.154Chimakothi46255.6846.265Lungtenzampa46730.3446.736Paro Town46708.9746.717Haa47371.5547.378Bajo Town47068.5947.079Beychu47292.0947.2910Samtse Town45086.8545.0911Sipsoo46144.4746.1412Gomtu45040.2845.0413Gedu45842.5845.8414Lobesa46970.1446.9715Khuruthang47050.647.0516Gasa48171.8748.17",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,45015.54,45.02
2,Rinchending,45096,45.1
3,Pasakha,45149.64,45.15
4,Chimakothi,46255.68,46.26
5,Lungtenzampa,46730.34,46.73
6,Paro Town,46708.97,46.71
7,Haa,47371.55,47.37
8,Bajo Town,47068.59,47.07
9,Beychu,47292.09,47.29
10,Samtse Town,45086.85,45.09
11,Sipsoo,46144.47,46.14
12,Gomtu,45040.28,45.04
13,Gedu,45842.58,45.84
14,Lobesa,46970.14,46.97
15,Khuruthang,47050.6,47.05
16,Gasa,48171.87,48.17
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Phuentsholing45015.5445.022Rinchending4509645.13Pasakha45149.6445.154Chimakothi46255.6846.265Lungtenzampa46730.3446.736Paro Town46708.9746.717Haa47371.5547.378Bajo Town47068.5947.079Beychu47292.0947.2910Samtse Town45086.8545.0911Sipsoo46144.4746.1412Gomtu45040.2845.0413Gedu45842.5845.8414Lobesa46970.1446.9715Khuruthang47050.647.0516Gasa48171.8748.17",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,45015.54,45.02
2,Rinchending,45096,45.1
3,Pasakha,45149.64,45.15
4,Chimakothi,46255.68,46.26
5,Lungtenzampa,46730.34,46.73
6,Paro Town,46708.97,46.71
7,Haa,47371.55,47.37
8,Bajo Town,47068.59,47.07
9,Beychu,47292.09,47.29
10,Samtse Town,45086.85,45.09
11,Sipsoo,46144.47,46.14
12,Gomtu,45040.28,45.04
13,Gedu,45842.58,45.84
14,Lobesa,46970.14,46.97
15,Khuruthang,47050.6,47.05
16,Gasa,48171.87,48.17
