"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Gelephu Town40972.7740.972Sarpang41023.9541.023Dagapela42524.642.524Tsirang42026.1342.035Zhemgang45116.5445.126Trongsa44109.8844.117Bumthang44441.1544.448Dagana42981.6642.989Lhamoizingkha46020.7646.0210Dangdung44337.1944.3411Panbang42525.342.5312Tingtibi42689.242.69",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,40972.77,40.97
2,Sarpang,41023.95,41.02
3,Dagapela,42524.6,42.52
4,Tsirang,42026.13,42.03
5,Zhemgang,45116.54,45.12
6,Trongsa,44109.88,44.11
7,Bumthang,44441.15,44.44
8,Dagana,42981.66,42.98
9,Lhamoizingkha,46020.76,46.02
10,Dangdung,44337.19,44.34
11,Panbang,42525.3,42.53
12,Tingtibi,42689.2,42.69
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Gelephu Town40972.7740.972Sarpang41023.9541.023Dagapela42524.642.524Tsirang42026.1342.035Zhemgang45116.5445.126Trongsa44109.8844.117Bumthang44441.1544.448Dagana42981.6642.989Lhamoizingkha46020.7646.0210Dangdung44337.1944.3411Panbang42525.342.5312Tingtibi42689.242.69",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,40972.77,40.97
2,Sarpang,41023.95,41.02
3,Dagapela,42524.6,42.52
4,Tsirang,42026.13,42.03
5,Zhemgang,45116.54,45.12
6,Trongsa,44109.88,44.11
7,Bumthang,44441.15,44.44
8,Dagana,42981.66,42.98
9,Lhamoizingkha,46020.76,46.02
10,Dangdung,44337.19,44.34
11,Panbang,42525.3,42.53
12,Tingtibi,42689.2,42.69
