"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Phuentsholing45001.39452Rinchending45081.8545.083Pasakha45135.4945.144Chimakothi46241.446.245Chubachu46716.0746.726Paro Shaba46694.746.697Haa47357.2247.368Wangdue Zero Point47054.3947.059Beychu47277.8947.2810Samtse Checkpost45072.6945.0711Sipsoo46130.346.1312Pagli45026.1345.0313Gedu45828.345.8314Mitsina46964.9946.9615Khuruthang47036.447.0416Gasa48157.5648.1617Dorokha45724.6945.7218Langdru (Khasadrapchu)46564.0946.56",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,45001.39,45
2,Rinchending,45081.85,45.08
3,Pasakha,45135.49,45.14
4,Chimakothi,46241.4,46.24
5,Chubachu,46716.07,46.72
6,Paro Shaba,46694.7,46.69
7,Haa,47357.22,47.36
8,Wangdue Zero Point,47054.39,47.05
9,Beychu,47277.89,47.28
10,Samtse Checkpost,45072.69,45.07
11,Sipsoo,46130.3,46.13
12,Pagli,45026.13,45.03
13,Gedu,45828.3,45.83
14,Mitsina,46964.99,46.96
15,Khuruthang,47036.4,47.04
16,Gasa,48157.56,48.16
17,Dorokha,45724.69,45.72
18,Langdru (Khasadrapchu),46564.09,46.56
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-04-01#StationRSP/KLRSP/L1Phuentsholing45001.39452Rinchending45081.8545.083Pasakha45135.4945.144Chimakothi46241.446.245Chubachu46716.0746.726Paro Shaba46694.746.697Haa47357.2247.368Wangdue Zero Point47054.3947.059Beychu47277.8947.2810Samtse Checkpost45072.6945.0711Sipsoo46130.346.1312Pagli45026.1345.0313Gedu45828.345.8314Mitsina46964.9946.9615Khuruthang47036.447.0416Gasa48157.5648.1617Dorokha45724.6945.7218Langdru (Khasadrapchu)46564.0946.56",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,45001.39,45
2,Rinchending,45081.85,45.08
3,Pasakha,45135.49,45.14
4,Chimakothi,46241.4,46.24
5,Chubachu,46716.07,46.72
6,Paro Shaba,46694.7,46.69
7,Haa,47357.22,47.36
8,Wangdue Zero Point,47054.39,47.05
9,Beychu,47277.89,47.28
10,Samtse Checkpost,45072.69,45.07
11,Sipsoo,46130.3,46.13
12,Pagli,45026.13,45.03
13,Gedu,45828.3,45.83
14,Mitsina,46964.99,46.96
15,Khuruthang,47036.4,47.04
16,Gasa,48157.56,48.16
17,Dorokha,45724.69,45.72
18,Langdru (Khasadrapchu),46564.09,46.56
