"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-03-16#StationRSP/KLRSP/L1Gelephu Town51681.3451.682Sarpang51770.4951.773Dagapela53395.1253.44Tsirang52918.1652.925Zhemgang5603356.036Trongsa55015.7255.027Bumthang55460.155.468Dagana53892.8153.899Lhamoizingkha57812.4157.8110Dangdung55139.7555.1411Panbang53233.8753.2312Tingtibi53447.4253.45",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,51681.34,51.68
2,Sarpang,51770.49,51.77
3,Dagapela,53395.12,53.4
4,Tsirang,52918.16,52.92
5,Zhemgang,56033,56.03
6,Trongsa,55015.72,55.02
7,Bumthang,55460.1,55.46
8,Dagana,53892.81,53.89
9,Lhamoizingkha,57812.41,57.81
10,Dangdung,55139.75,55.14
11,Panbang,53233.87,53.23
12,Tingtibi,53447.42,53.45
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-03-16#StationRSP/KLRSP/L1Gelephu Town51681.3451.682Sarpang51770.4951.773Dagapela53395.1253.44Tsirang52918.1652.925Zhemgang5603356.036Trongsa55015.7255.027Bumthang55460.155.468Dagana53892.8153.899Lhamoizingkha57812.4157.8110Dangdung55139.7555.1411Panbang53233.8753.2312Tingtibi53447.4253.45",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,51681.34,51.68
2,Sarpang,51770.49,51.77
3,Dagapela,53395.12,53.4
4,Tsirang,52918.16,52.92
5,Zhemgang,56033,56.03
6,Trongsa,55015.72,55.02
7,Bumthang,55460.1,55.46
8,Dagana,53892.81,53.89
9,Lhamoizingkha,57812.41,57.81
10,Dangdung,55139.75,55.14
11,Panbang,53233.87,53.23
12,Tingtibi,53447.42,53.45
