"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Gelephu Town52909.1852.912Sarpang52975.4252.983Dagapela54525.2654.534Tsirang54035.3254.045Zhemgang57135.4257.146Trongsa56124.5556.127Bumthang56500.756.58Dagana54998.44559Lhamoizingkha53915.0953.9210Dangdung56310.8956.3111Panbang54461.7154.4612Tingtibi54645.3154.65",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,52909.18,52.91
2,Sarpang,52975.42,52.98
3,Dagapela,54525.26,54.53
4,Tsirang,54035.32,54.04
5,Zhemgang,57135.42,57.14
6,Trongsa,56124.55,56.12
7,Bumthang,56500.7,56.5
8,Dagana,54998.44,55
9,Lhamoizingkha,53915.09,53.92
10,Dangdung,56310.89,56.31
11,Panbang,54461.71,54.46
12,Tingtibi,54645.31,54.65
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Gelephu Town52909.1852.912Sarpang52975.4252.983Dagapela54525.2654.534Tsirang54035.3254.045Zhemgang57135.4257.146Trongsa56124.5556.127Bumthang56500.756.58Dagana54998.44559Lhamoizingkha53915.0953.9210Dangdung56310.8956.3111Panbang54461.7154.4612Tingtibi54645.3154.65",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,52909.18,52.91
2,Sarpang,52975.42,52.98
3,Dagapela,54525.26,54.53
4,Tsirang,54035.32,54.04
5,Zhemgang,57135.42,57.14
6,Trongsa,56124.55,56.12
7,Bumthang,56500.7,56.5
8,Dagana,54998.44,55
9,Lhamoizingkha,53915.09,53.92
10,Dangdung,56310.89,56.31
11,Panbang,54461.71,54.46
12,Tingtibi,54645.31,54.65
