"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar53334.3853.332Nganglam53334.3853.333Wamrong54612.6554.614Trashigang55010.8355.015Trashiyangtse55797.1455.86Mongar56006.0356.017Gyelposing56084.156.088Kanglung55087.3455.099Pemagatshel54523.0654.5210Lhuntse56573.3256.5711Jomotsangkha5427554.2712Autsho56240.1456.2413Doksum55276.3655.2814Bhangtar54051.5854.0515Rangjung55255.2755.26",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,53334.38,53.33
2,Nganglam,53334.38,53.33
3,Wamrong,54612.65,54.61
4,Trashigang,55010.83,55.01
5,Trashiyangtse,55797.14,55.8
6,Mongar,56006.03,56.01
7,Gyelposing,56084.1,56.08
8,Kanglung,55087.34,55.09
9,Pemagatshel,54523.06,54.52
10,Lhuntse,56573.32,56.57
11,Jomotsangkha,54275,54.27
12,Autsho,56240.14,56.24
13,Doksum,55276.36,55.28
14,Bhangtar,54051.58,54.05
15,Rangjung,55255.27,55.26
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar53334.3853.332Nganglam53334.3853.333Wamrong54612.6554.614Trashigang55010.8355.015Trashiyangtse55797.1455.86Mongar56006.0356.017Gyelposing56084.156.088Kanglung55087.3455.099Pemagatshel54523.0654.5210Lhuntse56573.3256.5711Jomotsangkha5427554.2712Autsho56240.1456.2413Doksum55276.3655.2814Bhangtar54051.5854.0515Rangjung55255.2755.26",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,53334.38,53.33
2,Nganglam,53334.38,53.33
3,Wamrong,54612.65,54.61
4,Trashigang,55010.83,55.01
5,Trashiyangtse,55797.14,55.8
6,Mongar,56006.03,56.01
7,Gyelposing,56084.1,56.08
8,Kanglung,55087.34,55.09
9,Pemagatshel,54523.06,54.52
10,Lhuntse,56573.32,56.57
11,Jomotsangkha,54275,54.27
12,Autsho,56240.14,56.24
13,Doksum,55276.36,55.28
14,Bhangtar,54051.58,54.05
15,Rangjung,55255.27,55.26
