"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate56005.0956.012Nganglam Potonala56444.7156.443Wamrong57459.9457.464Trashigang57711.7457.715Trashiyangtse58634.3558.636Mongar58788.5158.797Gyelposing58757.1158.768Kanglung57910.9357.919Pemagatshel57326.0957.3310Lhuntse59309.4659.3111Jomotsangkha56005.0956.0112Autsho58951.1258.9513Doksum57996.145814Bhangtar56771.3656.7715Rangjung57997.758",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,56005.09,56.01
2,Nganglam Potonala,56444.71,56.44
3,Wamrong,57459.94,57.46
4,Trashigang,57711.74,57.71
5,Trashiyangtse,58634.35,58.63
6,Mongar,58788.51,58.79
7,Gyelposing,58757.11,58.76
8,Kanglung,57910.93,57.91
9,Pemagatshel,57326.09,57.33
10,Lhuntse,59309.46,59.31
11,Jomotsangkha,56005.09,56.01
12,Autsho,58951.12,58.95
13,Doksum,57996.14,58
14,Bhangtar,56771.36,56.77
15,Rangjung,57997.7,58
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate56005.0956.012Nganglam Potonala56444.7156.443Wamrong57459.9457.464Trashigang57711.7457.715Trashiyangtse58634.3558.636Mongar58788.5158.797Gyelposing58757.1158.768Kanglung57910.9357.919Pemagatshel57326.0957.3310Lhuntse59309.4659.3111Jomotsangkha56005.0956.0112Autsho58951.1258.9513Doksum57996.145814Bhangtar56771.3656.7715Rangjung57997.758",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,56005.09,56.01
2,Nganglam Potonala,56444.71,56.44
3,Wamrong,57459.94,57.46
4,Trashigang,57711.74,57.71
5,Trashiyangtse,58634.35,58.63
6,Mongar,58788.51,58.79
7,Gyelposing,58757.11,58.76
8,Kanglung,57910.93,57.91
9,Pemagatshel,57326.09,57.33
10,Lhuntse,59309.46,59.31
11,Jomotsangkha,56005.09,56.01
12,Autsho,58951.12,58.95
13,Doksum,57996.14,58
14,Bhangtar,56771.36,56.77
15,Rangjung,57997.7,58
