"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-02-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost54800.6354.82Sarpang55129.9655.133Dagapela56426.8956.434Tsirang55938.3155.945Zhemgang56626.1456.636Trongsa57599.2857.67Bumthang58411.6658.418Dagana56902.6256.99Lhamoizingkha55806.7155.8110Dangdung58208.2558.2111Panbang56353.1656.3512Tingtibi55963.1855.96",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,54800.63,54.8
2,Sarpang,55129.96,55.13
3,Dagapela,56426.89,56.43
4,Tsirang,55938.31,55.94
5,Zhemgang,56626.14,56.63
6,Trongsa,57599.28,57.6
7,Bumthang,58411.66,58.41
8,Dagana,56902.62,56.9
9,Lhamoizingkha,55806.71,55.81
10,Dangdung,58208.25,58.21
11,Panbang,56353.16,56.35
12,Tingtibi,55963.18,55.96
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-02-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost54800.6354.82Sarpang55129.9655.133Dagapela56426.8956.434Tsirang55938.3155.945Zhemgang56626.1456.636Trongsa57599.2857.67Bumthang58411.6658.418Dagana56902.6256.99Lhamoizingkha55806.7155.8110Dangdung58208.2558.2111Panbang56353.1656.3512Tingtibi55963.1855.96",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,54800.63,54.8
2,Sarpang,55129.96,55.13
3,Dagapela,56426.89,56.43
4,Tsirang,55938.31,55.94
5,Zhemgang,56626.14,56.63
6,Trongsa,57599.28,57.6
7,Bumthang,58411.66,58.41
8,Dagana,56902.62,56.9
9,Lhamoizingkha,55806.71,55.81
10,Dangdung,58208.25,58.21
11,Panbang,56353.16,56.35
12,Tingtibi,55963.18,55.96
