"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-02-01#StationRSP/KLRSP/L1Phuentsholing59640.2259.642Rinchending59720.6859.723Pasakha59774.3259.774Chimakothi61008.5161.015Lungtenzampa61474.6561.476Paro Town61463.8761.467Haa62173.6862.178Bajo Town61753.861.759Beychu61977.361.9810Samtse Town60168.3660.1711Sipsoo60783.4760.7812Gomtu60000.696013Gedu60597.7360.614Lobesa61652.3861.6515Khuruthang61732.8461.7316Gasa62963.8162.96",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59640.22,59.64
2,Rinchending,59720.68,59.72
3,Pasakha,59774.32,59.77
4,Chimakothi,61008.51,61.01
5,Lungtenzampa,61474.65,61.47
6,Paro Town,61463.87,61.46
7,Haa,62173.68,62.17
8,Bajo Town,61753.8,61.75
9,Beychu,61977.3,61.98
10,Samtse Town,60168.36,60.17
11,Sipsoo,60783.47,60.78
12,Gomtu,60000.69,60
13,Gedu,60597.73,60.6
14,Lobesa,61652.38,61.65
15,Khuruthang,61732.84,61.73
16,Gasa,62963.81,62.96
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-02-01#StationRSP/KLRSP/L1Phuentsholing59640.2259.642Rinchending59720.6859.723Pasakha59774.3259.774Chimakothi61008.5161.015Lungtenzampa61474.6561.476Paro Town61463.8761.467Haa62173.6862.178Bajo Town61753.861.759Beychu61977.361.9810Samtse Town60168.3660.1711Sipsoo60783.4760.7812Gomtu60000.696013Gedu60597.7360.614Lobesa61652.3861.6515Khuruthang61732.8461.7316Gasa62963.8162.96",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59640.22,59.64
2,Rinchending,59720.68,59.72
3,Pasakha,59774.32,59.77
4,Chimakothi,61008.51,61.01
5,Lungtenzampa,61474.65,61.47
6,Paro Town,61463.87,61.46
7,Haa,62173.68,62.17
8,Bajo Town,61753.8,61.75
9,Beychu,61977.3,61.98
10,Samtse Town,60168.36,60.17
11,Sipsoo,60783.47,60.78
12,Gomtu,60000.69,60
13,Gedu,60597.73,60.6
14,Lobesa,61652.38,61.65
15,Khuruthang,61732.84,61.73
16,Gasa,62963.81,62.96
