"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-02-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost58421.958.422Sarpang58783.6358.783Dagapela60186.3660.194Tsirang59716.1259.725Zhemgang60424.860.426Trongsa61388.8861.397Bumthang62297.7762.38Dagana60696.7560.79Lhamoizingkha59430.2459.4310Dangdung61909.7261.9111Panbang59974.4359.9712Tingtibi59626.8159.63",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,58421.9,58.42
2,Sarpang,58783.63,58.78
3,Dagapela,60186.36,60.19
4,Tsirang,59716.12,59.72
5,Zhemgang,60424.8,60.42
6,Trongsa,61388.88,61.39
7,Bumthang,62297.77,62.3
8,Dagana,60696.75,60.7
9,Lhamoizingkha,59430.24,59.43
10,Dangdung,61909.72,61.91
11,Panbang,59974.43,59.97
12,Tingtibi,59626.81,59.63
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-02-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost58421.958.422Sarpang58783.6358.783Dagapela60186.3660.194Tsirang59716.1259.725Zhemgang60424.860.426Trongsa61388.8861.397Bumthang62297.7762.38Dagana60696.7560.79Lhamoizingkha59430.2459.4310Dangdung61909.7261.9111Panbang59974.4359.9712Tingtibi59626.8159.63",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,58421.9,58.42
2,Sarpang,58783.63,58.78
3,Dagapela,60186.36,60.19
4,Tsirang,59716.12,59.72
5,Zhemgang,60424.8,60.42
6,Trongsa,61388.88,61.39
7,Bumthang,62297.77,62.3
8,Dagana,60696.75,60.7
9,Lhamoizingkha,59430.24,59.43
10,Dangdung,61909.72,61.91
11,Panbang,59974.43,59.97
12,Tingtibi,59626.81,59.63
