"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-01-16#StationRSP/KLRSP/L1Phuentsholing63608.463.612Rinchending63688.8663.693Pasakha63742.563.744Chimakothi65222.7265.225Chubachu65672.5165.676Paro Shaba65682.0465.687Haa66482.5366.488Wangdue Zero Point65838.1865.849Beychu66061.6866.0610Samtse Checkpost64066.7564.0711Sipsoo64779.1664.7812Pagli63898.5963.913Gedu64816.464.8214Mitsina65748.7865.7515Khuruthang65811.5265.8116Gasa67253.0967.25",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,63608.4,63.61
2,Rinchending,63688.86,63.69
3,Pasakha,63742.5,63.74
4,Chimakothi,65222.72,65.22
5,Chubachu,65672.51,65.67
6,Paro Shaba,65682.04,65.68
7,Haa,66482.53,66.48
8,Wangdue Zero Point,65838.18,65.84
9,Beychu,66061.68,66.06
10,Samtse Checkpost,64066.75,64.07
11,Sipsoo,64779.16,64.78
12,Pagli,63898.59,63.9
13,Gedu,64816.4,64.82
14,Mitsina,65748.78,65.75
15,Khuruthang,65811.52,65.81
16,Gasa,67253.09,67.25
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-01-16#StationRSP/KLRSP/L1Phuentsholing63608.463.612Rinchending63688.8663.693Pasakha63742.563.744Chimakothi65222.7265.225Chubachu65672.5165.676Paro Shaba65682.0465.687Haa66482.5366.488Wangdue Zero Point65838.1865.849Beychu66061.6866.0610Samtse Checkpost64066.7564.0711Sipsoo64779.1664.7812Pagli63898.5963.913Gedu64816.464.8214Mitsina65748.7865.7515Khuruthang65811.5265.8116Gasa67253.0967.25",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,63608.4,63.61
2,Rinchending,63688.86,63.69
3,Pasakha,63742.5,63.74
4,Chimakothi,65222.72,65.22
5,Chubachu,65672.51,65.67
6,Paro Shaba,65682.04,65.68
7,Haa,66482.53,66.48
8,Wangdue Zero Point,65838.18,65.84
9,Beychu,66061.68,66.06
10,Samtse Checkpost,64066.75,64.07
11,Sipsoo,64779.16,64.78
12,Pagli,63898.59,63.9
13,Gedu,64816.4,64.82
14,Mitsina,65748.78,65.75
15,Khuruthang,65811.52,65.81
16,Gasa,67253.09,67.25
