"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-01-16#StationRSP/KLRSP/L1Samdrup Jongkhar Gate59040.9459.042Nganglam Potonala59480.5659.483Wamrong60527.2960.534Trashigang60752.9760.755Trashiyangtse61699.9161.76Mongar61844.3161.847Gyelposing61793.3861.798Kanglung60974.0560.979Pemagatshel60385.5560.3910Lhuntse62356.9862.3611Jomotsangkha59040.9459.0412Autsho61994.1561.9913Doksum61040.7461.0414Bhangtar59815.9659.8215Rangjung61046.3561.05",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,59040.94,59.04
2,Nganglam Potonala,59480.56,59.48
3,Wamrong,60527.29,60.53
4,Trashigang,60752.97,60.75
5,Trashiyangtse,61699.91,61.7
6,Mongar,61844.31,61.84
7,Gyelposing,61793.38,61.79
8,Kanglung,60974.05,60.97
9,Pemagatshel,60385.55,60.39
10,Lhuntse,62356.98,62.36
11,Jomotsangkha,59040.94,59.04
12,Autsho,61994.15,61.99
13,Doksum,61040.74,61.04
14,Bhangtar,59815.96,59.82
15,Rangjung,61046.35,61.05
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-01-16#StationRSP/KLRSP/L1Samdrup Jongkhar Gate59040.9459.042Nganglam Potonala59480.5659.483Wamrong60527.2960.534Trashigang60752.9760.755Trashiyangtse61699.9161.76Mongar61844.3161.847Gyelposing61793.3861.798Kanglung60974.0560.979Pemagatshel60385.5560.3910Lhuntse62356.9862.3611Jomotsangkha59040.9459.0412Autsho61994.1561.9913Doksum61040.7461.0414Bhangtar59815.9659.8215Rangjung61046.3561.05",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,59040.94,59.04
2,Nganglam Potonala,59480.56,59.48
3,Wamrong,60527.29,60.53
4,Trashigang,60752.97,60.75
5,Trashiyangtse,61699.91,61.7
6,Mongar,61844.31,61.84
7,Gyelposing,61793.38,61.79
8,Kanglung,60974.05,60.97
9,Pemagatshel,60385.55,60.39
10,Lhuntse,62356.98,62.36
11,Jomotsangkha,59040.94,59.04
12,Autsho,61994.15,61.99
13,Doksum,61040.74,61.04
14,Bhangtar,59815.96,59.82
15,Rangjung,61046.35,61.05
