"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-01-15#StationRSP/KLRSP/L1Gelephu Town58127.4358.132Sarpang58227.9458.233Dagapela59889.6759.894Tsirang59419.1559.425Zhemgang62541.2962.546Trongsa61520.8461.527Bumthang61999.05628Dagana60399.5160.49Lhamoizingkha63677.3363.6810Dangdung61613.9661.6111Panbang59679.9659.6812Tingtibi59908.3659.91",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,58127.43,58.13
2,Sarpang,58227.94,58.23
3,Dagapela,59889.67,59.89
4,Tsirang,59419.15,59.42
5,Zhemgang,62541.29,62.54
6,Trongsa,61520.84,61.52
7,Bumthang,61999.05,62
8,Dagana,60399.51,60.4
9,Lhamoizingkha,63677.33,63.68
10,Dangdung,61613.96,61.61
11,Panbang,59679.96,59.68
12,Tingtibi,59908.36,59.91
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-01-15#StationRSP/KLRSP/L1Gelephu Town58127.4358.132Sarpang58227.9458.233Dagapela59889.6759.894Tsirang59419.1559.425Zhemgang62541.2962.546Trongsa61520.8461.527Bumthang61999.05628Dagana60399.5160.49Lhamoizingkha63677.3363.6810Dangdung61613.9661.6111Panbang59679.9659.6812Tingtibi59908.3659.91",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,58127.43,58.13
2,Sarpang,58227.94,58.23
3,Dagapela,59889.67,59.89
4,Tsirang,59419.15,59.42
5,Zhemgang,62541.29,62.54
6,Trongsa,61520.84,61.52
7,Bumthang,61999.05,62
8,Dagana,60399.51,60.4
9,Lhamoizingkha,63677.33,63.68
10,Dangdung,61613.96,61.61
11,Panbang,59679.96,59.68
12,Tingtibi,59908.36,59.91
