"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-01-15#StationRSP/KLRSP/L1Gelephu Forest Checkpost57358.157.362Sarpang57690.6657.693Dagapela58998.13594Tsirang58511.3758.515Zhemgang59201.2859.26Trongsa60173.5260.177Bumthang60995.51618Dagana59477.3159.489Lhamoizingkha62291.5462.2910Dangdung60773.7160.7711Panbang58910.6358.9112Tingtibi58524.8758.52",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,57358.1,57.36
2,Sarpang,57690.66,57.69
3,Dagapela,58998.13,59
4,Tsirang,58511.37,58.51
5,Zhemgang,59201.28,59.2
6,Trongsa,60173.52,60.17
7,Bumthang,60995.51,61
8,Dagana,59477.31,59.48
9,Lhamoizingkha,62291.54,62.29
10,Dangdung,60773.71,60.77
11,Panbang,58910.63,58.91
12,Tingtibi,58524.87,58.52
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-01-15#StationRSP/KLRSP/L1Gelephu Forest Checkpost57358.157.362Sarpang57690.6657.693Dagapela58998.13594Tsirang58511.3758.515Zhemgang59201.2859.26Trongsa60173.5260.177Bumthang60995.51618Dagana59477.3159.489Lhamoizingkha62291.5462.2910Dangdung60773.7160.7711Panbang58910.6358.9112Tingtibi58524.8758.52",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,57358.1,57.36
2,Sarpang,57690.66,57.69
3,Dagapela,58998.13,59
4,Tsirang,58511.37,58.51
5,Zhemgang,59201.28,59.2
6,Trongsa,60173.52,60.17
7,Bumthang,60995.51,61
8,Dagana,59477.31,59.48
9,Lhamoizingkha,62291.54,62.29
10,Dangdung,60773.71,60.77
11,Panbang,58910.63,58.91
12,Tingtibi,58524.87,58.52
