"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-03-16#StationRSP/KLRSP/L1Phuentsholing64536.464.542Rinchending64616.8664.623Pasakha64670.564.674Chimakothi65947.5965.955Lungtenzampa66410.8966.416Paro Town66403.6466.47Haa67129.2767.138Bajo Town66670.2466.679Beychu66893.7466.8910Samtse Town64097.7664.111Sipsoo65684.4565.6812Gomtu64154.9764.1513Gedu65537.665.5414Lobesa66567.8366.5715Khuruthang66648.2966.6516Gasa67915.9867.92",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64536.4,64.54
2,Rinchending,64616.86,64.62
3,Pasakha,64670.5,64.67
4,Chimakothi,65947.59,65.95
5,Lungtenzampa,66410.89,66.41
6,Paro Town,66403.64,66.4
7,Haa,67129.27,67.13
8,Bajo Town,66670.24,66.67
9,Beychu,66893.74,66.89
10,Samtse Town,64097.76,64.1
11,Sipsoo,65684.45,65.68
12,Gomtu,64154.97,64.15
13,Gedu,65537.6,65.54
14,Lobesa,66567.83,66.57
15,Khuruthang,66648.29,66.65
16,Gasa,67915.98,67.92
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-03-16#StationRSP/KLRSP/L1Phuentsholing64536.464.542Rinchending64616.8664.623Pasakha64670.564.674Chimakothi65947.5965.955Lungtenzampa66410.8966.416Paro Town66403.6466.47Haa67129.2767.138Bajo Town66670.2466.679Beychu66893.7466.8910Samtse Town64097.7664.111Sipsoo65684.4565.6812Gomtu64154.9764.1513Gedu65537.665.5414Lobesa66567.8366.5715Khuruthang66648.2966.6516Gasa67915.9867.92",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64536.4,64.54
2,Rinchending,64616.86,64.62
3,Pasakha,64670.5,64.67
4,Chimakothi,65947.59,65.95
5,Lungtenzampa,66410.89,66.41
6,Paro Town,66403.64,66.4
7,Haa,67129.27,67.13
8,Bajo Town,66670.24,66.67
9,Beychu,66893.74,66.89
10,Samtse Town,64097.76,64.1
11,Sipsoo,65684.45,65.68
12,Gomtu,64154.97,64.15
13,Gedu,65537.6,65.54
14,Lobesa,66567.83,66.57
15,Khuruthang,66648.29,66.65
16,Gasa,67915.98,67.92
