"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-03-16#StationRSP/KLRSP/L1Phuentsholing66915.6966.922Rinchending66996.15673Pasakha67049.7967.054Chimakothi68570.4868.575Chubachu69017.5869.026Paro Shaba69030.4669.037Haa69845.8769.858Wangdue Zero Point69164.5969.169Beychu69388.0969.3910Samtse Checkpost66475.1866.4811Sipsoo68090.9768.0912Pagli66533.0266.5313Gedu68164.968.1614Mitsina69075.1969.0815Khuruthang69136.9969.1416Gasa70613.270.6117Dorokha67837.3967.8418Langdru (Khasadrapchu)68865.668.87",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,66915.69,66.92
2,Rinchending,66996.15,67
3,Pasakha,67049.79,67.05
4,Chimakothi,68570.48,68.57
5,Chubachu,69017.58,69.02
6,Paro Shaba,69030.46,69.03
7,Haa,69845.87,69.85
8,Wangdue Zero Point,69164.59,69.16
9,Beychu,69388.09,69.39
10,Samtse Checkpost,66475.18,66.48
11,Sipsoo,68090.97,68.09
12,Pagli,66533.02,66.53
13,Gedu,68164.9,68.16
14,Mitsina,69075.19,69.08
15,Khuruthang,69136.99,69.14
16,Gasa,70613.2,70.61
17,Dorokha,67837.39,67.84
18,Langdru (Khasadrapchu),68865.6,68.87
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-03-16#StationRSP/KLRSP/L1Phuentsholing66915.6966.922Rinchending66996.15673Pasakha67049.7967.054Chimakothi68570.4868.575Chubachu69017.5869.026Paro Shaba69030.4669.037Haa69845.8769.858Wangdue Zero Point69164.5969.169Beychu69388.0969.3910Samtse Checkpost66475.1866.4811Sipsoo68090.9768.0912Pagli66533.0266.5313Gedu68164.968.1614Mitsina69075.1969.0815Khuruthang69136.9969.1416Gasa70613.270.6117Dorokha67837.3967.8418Langdru (Khasadrapchu)68865.668.87",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,66915.69,66.92
2,Rinchending,66996.15,67
3,Pasakha,67049.79,67.05
4,Chimakothi,68570.48,68.57
5,Chubachu,69017.58,69.02
6,Paro Shaba,69030.46,69.03
7,Haa,69845.87,69.85
8,Wangdue Zero Point,69164.59,69.16
9,Beychu,69388.09,69.39
10,Samtse Checkpost,66475.18,66.48
11,Sipsoo,68090.97,68.09
12,Pagli,66533.02,66.53
13,Gedu,68164.9,68.16
14,Mitsina,69075.19,69.08
15,Khuruthang,69136.99,69.14
16,Gasa,70613.2,70.61
17,Dorokha,67837.39,67.84
18,Langdru (Khasadrapchu),68865.6,68.87
