"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar62161.4762.162Nganglam62161.4762.163Wamrong63505.3363.514Trashigang63849.1363.855Trashiyangtse64686.0864.696Mongar64874.6464.877Gyelposing64912.0464.918Kanglung63971.2263.979Pemagatshel63399.363.410Lhuntse65424.7265.4211Jomotsangkha60872.3960.8712Autsho65082.1965.0813Doksum64121.6864.1214Bhangtar62769.3962.7715Rangjung6410964.11",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,62161.47,62.16
2,Nganglam,62161.47,62.16
3,Wamrong,63505.33,63.51
4,Trashigang,63849.13,63.85
5,Trashiyangtse,64686.08,64.69
6,Mongar,64874.64,64.87
7,Gyelposing,64912.04,64.91
8,Kanglung,63971.22,63.97
9,Pemagatshel,63399.3,63.4
10,Lhuntse,65424.72,65.42
11,Jomotsangkha,60872.39,60.87
12,Autsho,65082.19,65.08
13,Doksum,64121.68,64.12
14,Bhangtar,62769.39,62.77
15,Rangjung,64109,64.11
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-03-01#StationRSP/KLRSP/L1Samdrup Jongkhar62161.4762.162Nganglam62161.4762.163Wamrong63505.3363.514Trashigang63849.1363.855Trashiyangtse64686.0864.696Mongar64874.6464.877Gyelposing64912.0464.918Kanglung63971.2263.979Pemagatshel63399.363.410Lhuntse65424.7265.4211Jomotsangkha60872.3960.8712Autsho65082.1965.0813Doksum64121.6864.1214Bhangtar62769.3962.7715Rangjung6410964.11",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,62161.47,62.16
2,Nganglam,62161.47,62.16
3,Wamrong,63505.33,63.51
4,Trashigang,63849.13,63.85
5,Trashiyangtse,64686.08,64.69
6,Mongar,64874.64,64.87
7,Gyelposing,64912.04,64.91
8,Kanglung,63971.22,63.97
9,Pemagatshel,63399.3,63.4
10,Lhuntse,65424.72,65.42
11,Jomotsangkha,60872.39,60.87
12,Autsho,65082.19,65.08
13,Doksum,64121.68,64.12
14,Bhangtar,62769.39,62.77
15,Rangjung,64109,64.11
