"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-02-16#StationRSP/KLRSP/L1Phuentsholing62442.5362.442Rinchending62522.9962.523Pasakha62576.6362.584Chimakothi64042.5864.045Chubachu64493.3264.496Paro Shaba64501.6764.57Haa65296.965.38Wangdue Zero Point64665.5764.679Beychu64889.0764.8910Samtse Checkpost62002.056211Sipsoo63611.6963.6112Pagli62059.8862.0613Gedu63636.0163.6414Mitsina64576.1764.5815Khuruthang64639.2464.6416Gasa66068.666.0717Dorokha63338.0563.3418Langdru (Khasadrapchu)64341.3464.34",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,62442.53,62.44
2,Rinchending,62522.99,62.52
3,Pasakha,62576.63,62.58
4,Chimakothi,64042.58,64.04
5,Chubachu,64493.32,64.49
6,Paro Shaba,64501.67,64.5
7,Haa,65296.9,65.3
8,Wangdue Zero Point,64665.57,64.67
9,Beychu,64889.07,64.89
10,Samtse Checkpost,62002.05,62
11,Sipsoo,63611.69,63.61
12,Pagli,62059.88,62.06
13,Gedu,63636.01,63.64
14,Mitsina,64576.17,64.58
15,Khuruthang,64639.24,64.64
16,Gasa,66068.6,66.07
17,Dorokha,63338.05,63.34
18,Langdru (Khasadrapchu),64341.34,64.34
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-02-16#StationRSP/KLRSP/L1Phuentsholing62442.5362.442Rinchending62522.9962.523Pasakha62576.6362.584Chimakothi64042.5864.045Chubachu64493.3264.496Paro Shaba64501.6764.57Haa65296.965.38Wangdue Zero Point64665.5764.679Beychu64889.0764.8910Samtse Checkpost62002.056211Sipsoo63611.6963.6112Pagli62059.8862.0613Gedu63636.0163.6414Mitsina64576.1764.5815Khuruthang64639.2464.6416Gasa66068.666.0717Dorokha63338.0563.3418Langdru (Khasadrapchu)64341.3464.34",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,62442.53,62.44
2,Rinchending,62522.99,62.52
3,Pasakha,62576.63,62.58
4,Chimakothi,64042.58,64.04
5,Chubachu,64493.32,64.49
6,Paro Shaba,64501.67,64.5
7,Haa,65296.9,65.3
8,Wangdue Zero Point,64665.57,64.67
9,Beychu,64889.07,64.89
10,Samtse Checkpost,62002.05,62
11,Sipsoo,63611.69,63.61
12,Pagli,62059.88,62.06
13,Gedu,63636.01,63.64
14,Mitsina,64576.17,64.58
15,Khuruthang,64639.24,64.64
16,Gasa,66068.6,66.07
17,Dorokha,63338.05,63.34
18,Langdru (Khasadrapchu),64341.34,64.34
