"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Gelephu Town57728.7757.732Sarpang57828.5857.833Dagapela59488.0259.494Tsirang59017.0959.025Zhemgang62138.7862.146Trongsa61118.5261.127Bumthang61594.6561.598Dagana59997.1609Lhamoizingkha61884.8861.8810Dangdung61213.5661.2111Panbang59281.359.2812Tingtibi59508.7959.51",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,57728.77,57.73
2,Sarpang,57828.58,57.83
3,Dagapela,59488.02,59.49
4,Tsirang,59017.09,59.02
5,Zhemgang,62138.78,62.14
6,Trongsa,61118.52,61.12
7,Bumthang,61594.65,61.59
8,Dagana,59997.1,60
9,Lhamoizingkha,61884.88,61.88
10,Dangdung,61213.56,61.21
11,Panbang,59281.3,59.28
12,Tingtibi,59508.79,59.51
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Gelephu Town57728.7757.732Sarpang57828.5857.833Dagapela59488.0259.494Tsirang59017.0959.025Zhemgang62138.7862.146Trongsa61118.5261.127Bumthang61594.6561.598Dagana59997.1609Lhamoizingkha61884.8861.8810Dangdung61213.5661.2111Panbang59281.359.2812Tingtibi59508.7959.51",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,57728.77,57.73
2,Sarpang,57828.58,57.83
3,Dagapela,59488.02,59.49
4,Tsirang,59017.09,59.02
5,Zhemgang,62138.78,62.14
6,Trongsa,61118.52,61.12
7,Bumthang,61594.65,61.59
8,Dagana,59997.1,60
9,Lhamoizingkha,61884.88,61.88
10,Dangdung,61213.56,61.21
11,Panbang,59281.3,59.28
12,Tingtibi,59508.79,59.51
