"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost57730.1357.732Sarpang58090.6458.093Dagapela59489.3959.494Tsirang59018.4659.025Zhemgang59726.3659.736Trongsa60690.7860.697Bumthang61596.0361.68Dagana59998.48609Lhamoizingkha58738.3958.7410Dangdung61214.9361.2111Panbang59282.6659.2812Tingtibi58933.4558.93",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,57730.13,57.73
2,Sarpang,58090.64,58.09
3,Dagapela,59489.39,59.49
4,Tsirang,59018.46,59.02
5,Zhemgang,59726.36,59.73
6,Trongsa,60690.78,60.69
7,Bumthang,61596.03,61.6
8,Dagana,59998.48,60
9,Lhamoizingkha,58738.39,58.74
10,Dangdung,61214.93,61.21
11,Panbang,59282.66,59.28
12,Tingtibi,58933.45,58.93
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost57730.1357.732Sarpang58090.6458.093Dagapela59489.3959.494Tsirang59018.4659.025Zhemgang59726.3659.736Trongsa60690.7860.697Bumthang61596.0361.68Dagana59998.48609Lhamoizingkha58738.3958.7410Dangdung61214.9361.2111Panbang59282.6659.2812Tingtibi58933.4558.93",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,57730.13,57.73
2,Sarpang,58090.64,58.09
3,Dagapela,59489.39,59.49
4,Tsirang,59018.46,59.02
5,Zhemgang,59726.36,59.73
6,Trongsa,60690.78,60.69
7,Bumthang,61596.03,61.6
8,Dagana,59998.48,60
9,Lhamoizingkha,58738.39,58.74
10,Dangdung,61214.93,61.21
11,Panbang,59282.66,59.28
12,Tingtibi,58933.45,58.93
