"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate58321.6658.322Nganglam Potonala58315.1558.323Wamrong59800.5459.84Trashigang60032.4260.035Trashiyangtse60973.5960.976Mongar61120.361.127Gyelposing6107461.078Kanglung60248.3160.259Pemagatshel59660.6859.6610Lhuntse61634.9461.6311Jomotsangkha58321.6658.3212Autsho61273.1761.2713Doksum60319.3960.3214Bhangtar58929.5858.9315Rangjung60324.0460.32",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,58321.66,58.32
2,Nganglam Potonala,58315.15,58.32
3,Wamrong,59800.54,59.8
4,Trashigang,60032.42,60.03
5,Trashiyangtse,60973.59,60.97
6,Mongar,61120.3,61.12
7,Gyelposing,61074,61.07
8,Kanglung,60248.31,60.25
9,Pemagatshel,59660.68,59.66
10,Lhuntse,61634.94,61.63
11,Jomotsangkha,58321.66,58.32
12,Autsho,61273.17,61.27
13,Doksum,60319.39,60.32
14,Bhangtar,58929.58,58.93
15,Rangjung,60324.04,60.32
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-02-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate58321.6658.322Nganglam Potonala58315.1558.323Wamrong59800.5459.84Trashigang60032.4260.035Trashiyangtse60973.5960.976Mongar61120.361.127Gyelposing6107461.078Kanglung60248.3160.259Pemagatshel59660.6859.6610Lhuntse61634.9461.6311Jomotsangkha58321.6658.3212Autsho61273.1761.2713Doksum60319.3960.3214Bhangtar58929.5858.9315Rangjung60324.0460.32",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,58321.66,58.32
2,Nganglam Potonala,58315.15,58.32
3,Wamrong,59800.54,59.8
4,Trashigang,60032.42,60.03
5,Trashiyangtse,60973.59,60.97
6,Mongar,61120.3,61.12
7,Gyelposing,61074,61.07
8,Kanglung,60248.31,60.25
9,Pemagatshel,59660.68,59.66
10,Lhuntse,61634.94,61.63
11,Jomotsangkha,58321.66,58.32
12,Autsho,61273.17,61.27
13,Doksum,60319.39,60.32
14,Bhangtar,58929.58,58.93
15,Rangjung,60324.04,60.32
