"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing57868.0157.872Rinchending57948.4757.953Pasakha58002.11584Chimakothi59220.7759.225Lungtenzampa59687.9559.696Paro Town59675.8859.687Haa60379.9660.388Bajo Town59974.2659.979Beychu60197.7660.210Samtse Town57429.3657.4311Sipsoo59009.5359.0112Gomtu57486.5757.4913Gedu58809.7158.8114Lobesa59873.259.8715Khuruthang59953.6659.9516Gasa61171.3361.17",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57868.01,57.87
2,Rinchending,57948.47,57.95
3,Pasakha,58002.11,58
4,Chimakothi,59220.77,59.22
5,Lungtenzampa,59687.95,59.69
6,Paro Town,59675.88,59.68
7,Haa,60379.96,60.38
8,Bajo Town,59974.26,59.97
9,Beychu,60197.76,60.2
10,Samtse Town,57429.36,57.43
11,Sipsoo,59009.53,59.01
12,Gomtu,57486.57,57.49
13,Gedu,58809.71,58.81
14,Lobesa,59873.2,59.87
15,Khuruthang,59953.66,59.95
16,Gasa,61171.33,61.17
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing57868.0157.872Rinchending57948.4757.953Pasakha58002.11584Chimakothi59220.7759.225Lungtenzampa59687.9559.696Paro Town59675.8859.687Haa60379.9660.388Bajo Town59974.2659.979Beychu60197.7660.210Samtse Town57429.3657.4311Sipsoo59009.5359.0112Gomtu57486.5757.4913Gedu58809.7158.8114Lobesa59873.259.8715Khuruthang59953.6659.9516Gasa61171.3361.17",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57868.01,57.87
2,Rinchending,57948.47,57.95
3,Pasakha,58002.11,58
4,Chimakothi,59220.77,59.22
5,Lungtenzampa,59687.95,59.69
6,Paro Town,59675.88,59.68
7,Haa,60379.96,60.38
8,Bajo Town,59974.26,59.97
9,Beychu,60197.76,60.2
10,Samtse Town,57429.36,57.43
11,Sipsoo,59009.53,59.01
12,Gomtu,57486.57,57.49
13,Gedu,58809.71,58.81
14,Lobesa,59873.2,59.87
15,Khuruthang,59953.66,59.95
16,Gasa,61171.33,61.17
