"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing59909.9659.912Rinchending59981.0659.983Pasakha60044.0660.044Chimakothi61479.0161.485Lungtenzampa61774.7861.776Paro Town61937.6161.947Haa62721.4262.728Bajo Town62118.3662.129Beychu62341.8662.3410Samtse Town59470.2459.4711Sipsoo61075.6661.0812Gomtu59527.5959.5313Gedu61071.8861.0714Lobesa62012.2962.0115Khuruthang62092.7562.0916Gasa63495.5863.5",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59909.96,59.91
2,Rinchending,59981.06,59.98
3,Pasakha,60044.06,60.04
4,Chimakothi,61479.01,61.48
5,Lungtenzampa,61774.78,61.77
6,Paro Town,61937.61,61.94
7,Haa,62721.42,62.72
8,Bajo Town,62118.36,62.12
9,Beychu,62341.86,62.34
10,Samtse Town,59470.24,59.47
11,Sipsoo,61075.66,61.08
12,Gomtu,59527.59,59.53
13,Gedu,61071.88,61.07
14,Lobesa,62012.29,62.01
15,Khuruthang,62092.75,62.09
16,Gasa,63495.58,63.5
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing59909.9659.912Rinchending59981.0659.983Pasakha60044.0660.044Chimakothi61479.0161.485Lungtenzampa61774.7861.776Paro Town61937.6161.947Haa62721.4262.728Bajo Town62118.3662.129Beychu62341.8662.3410Samtse Town59470.2459.4711Sipsoo61075.6661.0812Gomtu59527.5959.5313Gedu61071.8861.0714Lobesa62012.2962.0115Khuruthang62092.7562.0916Gasa63495.5863.5",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59909.96,59.91
2,Rinchending,59981.06,59.98
3,Pasakha,60044.06,60.04
4,Chimakothi,61479.01,61.48
5,Lungtenzampa,61774.78,61.77
6,Paro Town,61937.61,61.94
7,Haa,62721.42,62.72
8,Bajo Town,62118.36,62.12
9,Beychu,62341.86,62.34
10,Samtse Town,59470.24,59.47
11,Sipsoo,61075.66,61.08
12,Gomtu,59527.59,59.53
13,Gedu,61071.88,61.07
14,Lobesa,62012.29,62.01
15,Khuruthang,62092.75,62.09
16,Gasa,63495.58,63.5
