"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing57902.7357.92Rinchending57983.1957.983Pasakha58036.8358.044Chimakothi59255.7959.265Chubachu59722.9559.726Paro Shaba59710.9159.717Haa60415.1160.428Wangdue Zero Point60009.1260.019Beychu60232.6260.2310Samtse Checkpost57463.3157.4611Sipsoo59044.2859.0412Pagli57521.0157.5213Gedu58844.7458.8414Mitsina59919.7259.9215Khuruthang59988.5159.9916Gasa61206.4561.2117Dorokha58680.158.6818Langdru (Khasadrapchu)59570.9759.57",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57902.73,57.9
2,Rinchending,57983.19,57.98
3,Pasakha,58036.83,58.04
4,Chimakothi,59255.79,59.26
5,Chubachu,59722.95,59.72
6,Paro Shaba,59710.91,59.71
7,Haa,60415.11,60.42
8,Wangdue Zero Point,60009.12,60.01
9,Beychu,60232.62,60.23
10,Samtse Checkpost,57463.31,57.46
11,Sipsoo,59044.28,59.04
12,Pagli,57521.01,57.52
13,Gedu,58844.74,58.84
14,Mitsina,59919.72,59.92
15,Khuruthang,59988.51,59.99
16,Gasa,61206.45,61.21
17,Dorokha,58680.1,58.68
18,Langdru (Khasadrapchu),59570.97,59.57
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-01-16#StationRSP/KLRSP/L1Phuentsholing57902.7357.92Rinchending57983.1957.983Pasakha58036.8358.044Chimakothi59255.7959.265Chubachu59722.9559.726Paro Shaba59710.9159.717Haa60415.1160.428Wangdue Zero Point60009.1260.019Beychu60232.6260.2310Samtse Checkpost57463.3157.4611Sipsoo59044.2859.0412Pagli57521.0157.5213Gedu58844.7458.8414Mitsina59919.7259.9215Khuruthang59988.5159.9916Gasa61206.4561.2117Dorokha58680.158.6818Langdru (Khasadrapchu)59570.9759.57",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57902.73,57.9
2,Rinchending,57983.19,57.98
3,Pasakha,58036.83,58.04
4,Chimakothi,59255.79,59.26
5,Chubachu,59722.95,59.72
6,Paro Shaba,59710.91,59.71
7,Haa,60415.11,60.42
8,Wangdue Zero Point,60009.12,60.01
9,Beychu,60232.62,60.23
10,Samtse Checkpost,57463.31,57.46
11,Sipsoo,59044.28,59.04
12,Pagli,57521.01,57.52
13,Gedu,58844.74,58.84
14,Mitsina,59919.72,59.92
15,Khuruthang,59988.51,59.99
16,Gasa,61206.45,61.21
17,Dorokha,58680.1,58.68
18,Langdru (Khasadrapchu),59570.97,59.57
