"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-12-16#StationRSP/KLRSP/L1Samdrup Jongkhar Gate53491.3553.492Nganglam Potonala53484.8853.483Wamrong54770.7954.774Trashigang5516855.175Trashiyangtse55955.2155.966Mongar56163.7456.167Gyelposing56241.0856.248Kanglung55245.3255.259Pemagatshel54680.954.6810Lhuntse56730.7356.7311Jomotsangkha53491.3553.4912Autsho56397.3856.413Doksum55433.6555.4314Bhangtar54099.2754.115Rangjung55412.7255.41",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,53491.35,53.49
2,Nganglam Potonala,53484.88,53.48
3,Wamrong,54770.79,54.77
4,Trashigang,55168,55.17
5,Trashiyangtse,55955.21,55.96
6,Mongar,56163.74,56.16
7,Gyelposing,56241.08,56.24
8,Kanglung,55245.32,55.25
9,Pemagatshel,54680.9,54.68
10,Lhuntse,56730.73,56.73
11,Jomotsangkha,53491.35,53.49
12,Autsho,56397.38,56.4
13,Doksum,55433.65,55.43
14,Bhangtar,54099.27,54.1
15,Rangjung,55412.72,55.41
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-12-16#StationRSP/KLRSP/L1Samdrup Jongkhar Gate53491.3553.492Nganglam Potonala53484.8853.483Wamrong54770.7954.774Trashigang5516855.175Trashiyangtse55955.2155.966Mongar56163.7456.167Gyelposing56241.0856.248Kanglung55245.3255.259Pemagatshel54680.954.6810Lhuntse56730.7356.7311Jomotsangkha53491.3553.4912Autsho56397.3856.413Doksum55433.6555.4314Bhangtar54099.2754.115Rangjung55412.7255.41",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,53491.35,53.49
2,Nganglam Potonala,53484.88,53.48
3,Wamrong,54770.79,54.77
4,Trashigang,55168,55.17
5,Trashiyangtse,55955.21,55.96
6,Mongar,56163.74,56.16
7,Gyelposing,56241.08,56.24
8,Kanglung,55245.32,55.25
9,Pemagatshel,54680.9,54.68
10,Lhuntse,56730.73,56.73
11,Jomotsangkha,53491.35,53.49
12,Autsho,56397.38,56.4
13,Doksum,55433.65,55.43
14,Bhangtar,54099.27,54.1
15,Rangjung,55412.72,55.41
