"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Phuentsholing5669256.692Rinchending56772.4656.773Pasakha56826.156.834Chimakothi58221.6758.225Chubachu58677.0958.686Paro Shaba58679.6458.687Haa59448.9359.458Wangdue Zero Point58881.858.889Beychu59105.359.1110Samtse Checkpost56251.5256.2511Sipsoo57853.2957.8512Pagli56309.3656.3113Gedu57813.8357.8114Mitsina58792.458.7915Khuruthang58857.1158.8616Gasa60226.2260.2317Dorokha57553.8657.5518Langdru (Khasadrapchu)58525.1158.53",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56692,56.69
2,Rinchending,56772.46,56.77
3,Pasakha,56826.1,56.83
4,Chimakothi,58221.67,58.22
5,Chubachu,58677.09,58.68
6,Paro Shaba,58679.64,58.68
7,Haa,59448.93,59.45
8,Wangdue Zero Point,58881.8,58.88
9,Beychu,59105.3,59.11
10,Samtse Checkpost,56251.52,56.25
11,Sipsoo,57853.29,57.85
12,Pagli,56309.36,56.31
13,Gedu,57813.83,57.81
14,Mitsina,58792.4,58.79
15,Khuruthang,58857.11,58.86
16,Gasa,60226.22,60.23
17,Dorokha,57553.86,57.55
18,Langdru (Khasadrapchu),58525.11,58.53
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Phuentsholing5669256.692Rinchending56772.4656.773Pasakha56826.156.834Chimakothi58221.6758.225Chubachu58677.0958.686Paro Shaba58679.6458.687Haa59448.9359.458Wangdue Zero Point58881.858.889Beychu59105.359.1110Samtse Checkpost56251.5256.2511Sipsoo57853.2957.8512Pagli56309.3656.3113Gedu57813.8357.8114Mitsina58792.458.7915Khuruthang58857.1158.8616Gasa60226.2260.2317Dorokha57553.8657.5518Langdru (Khasadrapchu)58525.1158.53",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56692,56.69
2,Rinchending,56772.46,56.77
3,Pasakha,56826.1,56.83
4,Chimakothi,58221.67,58.22
5,Chubachu,58677.09,58.68
6,Paro Shaba,58679.64,58.68
7,Haa,59448.93,59.45
8,Wangdue Zero Point,58881.8,58.88
9,Beychu,59105.3,59.11
10,Samtse Checkpost,56251.52,56.25
11,Sipsoo,57853.29,57.85
12,Pagli,56309.36,56.31
13,Gedu,57813.83,57.81
14,Mitsina,58792.4,58.79
15,Khuruthang,58857.11,58.86
16,Gasa,60226.22,60.23
17,Dorokha,57553.86,57.55
18,Langdru (Khasadrapchu),58525.11,58.53
