"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Gelephu Town51003.24512Sarpang51067.0851.073Dagapela52609.0652.614Tsirang52117.7652.125Zhemgang55216.3155.226Trongsa54206.1254.217Bumthang54575.154.588Dagana53079.6753.089Lhamoizingkha54323.6154.3210Dangdung5439954.411Panbang52555.7752.5612Tingtibi52736.2252.74",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,51003.24,51
2,Sarpang,51067.08,51.07
3,Dagapela,52609.06,52.61
4,Tsirang,52117.76,52.12
5,Zhemgang,55216.31,55.22
6,Trongsa,54206.12,54.21
7,Bumthang,54575.1,54.58
8,Dagana,53079.67,53.08
9,Lhamoizingkha,54323.61,54.32
10,Dangdung,54399,54.4
11,Panbang,52555.77,52.56
12,Tingtibi,52736.22,52.74
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Gelephu Town51003.24512Sarpang51067.0851.073Dagapela52609.0652.614Tsirang52117.7652.125Zhemgang55216.3155.226Trongsa54206.1254.217Bumthang54575.154.588Dagana53079.6753.089Lhamoizingkha54323.6154.3210Dangdung5439954.411Panbang52555.7752.5612Tingtibi52736.2252.74",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,51003.24,51
2,Sarpang,51067.08,51.07
3,Dagapela,52609.06,52.61
4,Tsirang,52117.76,52.12
5,Zhemgang,55216.31,55.22
6,Trongsa,54206.12,54.21
7,Bumthang,54575.1,54.58
8,Dagana,53079.67,53.08
9,Lhamoizingkha,54323.61,54.32
10,Dangdung,54399,54.4
11,Panbang,52555.77,52.56
12,Tingtibi,52736.22,52.74
