"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost51004.59512Sarpang51329.1351.333Dagapela52610.4252.614Tsirang52119.1252.125Zhemgang52803.8752.86Trongsa53778.3653.787Bumthang54576.4654.588Dagana53081.0253.089Lhamoizingkha52010.3352.0110Dangdung54400.3554.411Panbang52557.1252.5612Tingtibi52160.8752.16",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,51004.59,51
2,Sarpang,51329.13,51.33
3,Dagapela,52610.42,52.61
4,Tsirang,52119.12,52.12
5,Zhemgang,52803.87,52.8
6,Trongsa,53778.36,53.78
7,Bumthang,54576.46,54.58
8,Dagana,53081.02,53.08
9,Lhamoizingkha,52010.33,52.01
10,Dangdung,54400.35,54.4
11,Panbang,52557.12,52.56
12,Tingtibi,52160.87,52.16
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost51004.59512Sarpang51329.1351.333Dagapela52610.4252.614Tsirang52119.1252.125Zhemgang52803.8752.86Trongsa53778.3653.787Bumthang54576.4654.588Dagana53081.0253.089Lhamoizingkha52010.3352.0110Dangdung54400.3554.411Panbang52557.1252.5612Tingtibi52160.8752.16",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,51004.59,51
2,Sarpang,51329.13,51.33
3,Dagapela,52610.42,52.61
4,Tsirang,52119.12,52.12
5,Zhemgang,52803.87,52.8
6,Trongsa,53778.36,53.78
7,Bumthang,54576.46,54.58
8,Dagana,53081.02,53.08
9,Lhamoizingkha,52010.33,52.01
10,Dangdung,54400.35,54.4
11,Panbang,52557.12,52.56
12,Tingtibi,52160.87,52.16
