"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Samdrup Jongkhar51593.3451.592Nganglam51593.3451.593Wamrong52858.6852.864Trashigang53267.5853.275Trashiyangtse54043.954.046Mongar54256.854.267Gyelposing54342.8954.348Kanglung53335.153.349Pemagatshel52772.3252.7710Lhuntse54827.4954.8311Jomotsangkha50304.2850.312Autsho54496.1554.513Doksum53531.7253.5314Bhangtar52201.2652.215Rangjung53508.9853.51",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,51593.34,51.59
2,Nganglam,51593.34,51.59
3,Wamrong,52858.68,52.86
4,Trashigang,53267.58,53.27
5,Trashiyangtse,54043.9,54.04
6,Mongar,54256.8,54.26
7,Gyelposing,54342.89,54.34
8,Kanglung,53335.1,53.34
9,Pemagatshel,52772.32,52.77
10,Lhuntse,54827.49,54.83
11,Jomotsangkha,50304.28,50.3
12,Autsho,54496.15,54.5
13,Doksum,53531.72,53.53
14,Bhangtar,52201.26,52.2
15,Rangjung,53508.98,53.51
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Samdrup Jongkhar51593.3451.592Nganglam51593.3451.593Wamrong52858.6852.864Trashigang53267.5853.275Trashiyangtse54043.954.046Mongar54256.854.267Gyelposing54342.8954.348Kanglung53335.153.349Pemagatshel52772.3252.7710Lhuntse54827.4954.8311Jomotsangkha50304.2850.312Autsho54496.1554.513Doksum53531.7253.5314Bhangtar52201.2652.215Rangjung53508.9853.51",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,51593.34,51.59
2,Nganglam,51593.34,51.59
3,Wamrong,52858.68,52.86
4,Trashigang,53267.58,53.27
5,Trashiyangtse,54043.9,54.04
6,Mongar,54256.8,54.26
7,Gyelposing,54342.89,54.34
8,Kanglung,53335.1,53.34
9,Pemagatshel,52772.32,52.77
10,Lhuntse,54827.49,54.83
11,Jomotsangkha,50304.28,50.3
12,Autsho,54496.15,54.5
13,Doksum,53531.72,53.53
14,Bhangtar,52201.26,52.2
15,Rangjung,53508.98,53.51
