"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate54115.7554.122Nganglam Potonala54109.2654.113Wamrong55550.9955.554Trashigang55819.0455.825Trashiyangtse56726.5356.736Mongar56886.7656.897Gyelposing56867.5256.878Kanglung56004.61569Pemagatshel55422.0655.4210Lhuntse57412.8657.4111Jomotsangkha54115.7554.1212Autsho57057.3157.0613Doksum56101.3556.114Bhangtar54723.6754.7215Rangjung56100.456.1",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,54115.75,54.12
2,Nganglam Potonala,54109.26,54.11
3,Wamrong,55550.99,55.55
4,Trashigang,55819.04,55.82
5,Trashiyangtse,56726.53,56.73
6,Mongar,56886.76,56.89
7,Gyelposing,56867.52,56.87
8,Kanglung,56004.61,56
9,Pemagatshel,55422.06,55.42
10,Lhuntse,57412.86,57.41
11,Jomotsangkha,54115.75,54.12
12,Autsho,57057.31,57.06
13,Doksum,56101.35,56.1
14,Bhangtar,54723.67,54.72
15,Rangjung,56100.4,56.1
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-12-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate54115.7554.122Nganglam Potonala54109.2654.113Wamrong55550.9955.554Trashigang55819.0455.825Trashiyangtse56726.5356.736Mongar56886.7656.897Gyelposing56867.5256.878Kanglung56004.61569Pemagatshel55422.0655.4210Lhuntse57412.8657.4111Jomotsangkha54115.7554.1212Autsho57057.3157.0613Doksum56101.3556.114Bhangtar54723.6754.7215Rangjung56100.456.1",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,54115.75,54.12
2,Nganglam Potonala,54109.26,54.11
3,Wamrong,55550.99,55.55
4,Trashigang,55819.04,55.82
5,Trashiyangtse,56726.53,56.73
6,Mongar,56886.76,56.89
7,Gyelposing,56867.52,56.87
8,Kanglung,56004.61,56
9,Pemagatshel,55422.06,55.42
10,Lhuntse,57412.86,57.41
11,Jomotsangkha,54115.75,54.12
12,Autsho,57057.31,57.06
13,Doksum,56101.35,56.1
14,Bhangtar,54723.67,54.72
15,Rangjung,56100.4,56.1
