"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-11-16#StationRSP/KLRSP/L1Samdrup Jongkhar52196.0152.22Nganglam52196.0152.23Wamrong53611.3353.614Trashigang53895.953.95Trashiyangtse5478854.796Mongar54954.4154.957Gyelposing54947.5254.958Kanglung54067.6354.079Pemagatshel53487.3953.4910Lhuntse55485.7455.4911Jomotsangkha50903.7950.912Autsho55133.0255.1313Doksum54176.0754.1814Bhangtar52803.9352.815Rangjung54172.5754.17",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52196.01,52.2
2,Nganglam,52196.01,52.2
3,Wamrong,53611.33,53.61
4,Trashigang,53895.9,53.9
5,Trashiyangtse,54788,54.79
6,Mongar,54954.41,54.95
7,Gyelposing,54947.52,54.95
8,Kanglung,54067.63,54.07
9,Pemagatshel,53487.39,53.49
10,Lhuntse,55485.74,55.49
11,Jomotsangkha,50903.79,50.9
12,Autsho,55133.02,55.13
13,Doksum,54176.07,54.18
14,Bhangtar,52803.93,52.8
15,Rangjung,54172.57,54.17
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-11-16#StationRSP/KLRSP/L1Samdrup Jongkhar52196.0152.22Nganglam52196.0152.23Wamrong53611.3353.614Trashigang53895.953.95Trashiyangtse5478854.796Mongar54954.4154.957Gyelposing54947.5254.958Kanglung54067.6354.079Pemagatshel53487.3953.4910Lhuntse55485.7455.4911Jomotsangkha50903.7950.912Autsho55133.0255.1313Doksum54176.0754.1814Bhangtar52803.9352.815Rangjung54172.5754.17",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52196.01,52.2
2,Nganglam,52196.01,52.2
3,Wamrong,53611.33,53.61
4,Trashigang,53895.9,53.9
5,Trashiyangtse,54788,54.79
6,Mongar,54954.41,54.95
7,Gyelposing,54947.52,54.95
8,Kanglung,54067.63,54.07
9,Pemagatshel,53487.39,53.49
10,Lhuntse,55485.74,55.49
11,Jomotsangkha,50903.79,50.9
12,Autsho,55133.02,55.13
13,Doksum,54176.07,54.18
14,Bhangtar,52803.93,52.8
15,Rangjung,54172.57,54.17
