"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Phuentsholing50449.6250.452Rinchending50530.0850.533Pasakha50583.7250.584Chimakothi51737.3751.745Chubachu52208.8752.216Paro Shaba52191.4452.197Haa52871.5652.878Wangdue Zero Point52525.1652.539Beychu52748.6652.7510Samtse Checkpost50000.115011Sipsoo51583.8751.5812Pagli50067.950.0713Gedu51325.1451.3314Mitsina52435.7652.4415Khuruthang52506.0752.5116Gasa53668.153.6717Dorokha51195.7551.218Langdru (Khasadrapchu)52056.8952.06",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50449.62,50.45
2,Rinchending,50530.08,50.53
3,Pasakha,50583.72,50.58
4,Chimakothi,51737.37,51.74
5,Chubachu,52208.87,52.21
6,Paro Shaba,52191.44,52.19
7,Haa,52871.56,52.87
8,Wangdue Zero Point,52525.16,52.53
9,Beychu,52748.66,52.75
10,Samtse Checkpost,50000.11,50
11,Sipsoo,51583.87,51.58
12,Pagli,50067.9,50.07
13,Gedu,51325.14,51.33
14,Mitsina,52435.76,52.44
15,Khuruthang,52506.07,52.51
16,Gasa,53668.1,53.67
17,Dorokha,51195.75,51.2
18,Langdru (Khasadrapchu),52056.89,52.06
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Phuentsholing50449.6250.452Rinchending50530.0850.533Pasakha50583.7250.584Chimakothi51737.3751.745Chubachu52208.8752.216Paro Shaba52191.4452.197Haa52871.5652.878Wangdue Zero Point52525.1652.539Beychu52748.6652.7510Samtse Checkpost50000.115011Sipsoo51583.8751.5812Pagli50067.950.0713Gedu51325.1451.3314Mitsina52435.7652.4415Khuruthang52506.0752.5116Gasa53668.153.6717Dorokha51195.7551.218Langdru (Khasadrapchu)52056.8952.06",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50449.62,50.45
2,Rinchending,50530.08,50.53
3,Pasakha,50583.72,50.58
4,Chimakothi,51737.37,51.74
5,Chubachu,52208.87,52.21
6,Paro Shaba,52191.44,52.19
7,Haa,52871.56,52.87
8,Wangdue Zero Point,52525.16,52.53
9,Beychu,52748.66,52.75
10,Samtse Checkpost,50000.11,50
11,Sipsoo,51583.87,51.58
12,Pagli,50067.9,50.07
13,Gedu,51325.14,51.33
14,Mitsina,52435.76,52.44
15,Khuruthang,52506.07,52.51
16,Gasa,53668.1,53.67
17,Dorokha,51195.75,51.2
18,Langdru (Khasadrapchu),52056.89,52.06
