"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Gelephu Town48100.4748.12Sarpang48160.6548.163Dagapela49690.6749.694Tsirang49197.2949.25Zhemgang52293.4952.296Trongsa51284.3151.287Bumthang51642.3851.648Dagana50157.3550.169Lhamoizingkha51420.5951.4210Dangdung51487.1651.4911Panbang4965349.6512Tingtibi49828.6649.83",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,48100.47,48.1
2,Sarpang,48160.65,48.16
3,Dagapela,49690.67,49.69
4,Tsirang,49197.29,49.2
5,Zhemgang,52293.49,52.29
6,Trongsa,51284.31,51.28
7,Bumthang,51642.38,51.64
8,Dagana,50157.35,50.16
9,Lhamoizingkha,51420.59,51.42
10,Dangdung,51487.16,51.49
11,Panbang,49653,49.65
12,Tingtibi,49828.66,49.83
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Gelephu Town48100.4748.12Sarpang48160.6548.163Dagapela49690.6749.694Tsirang49197.2949.25Zhemgang52293.4952.296Trongsa51284.3151.287Bumthang51642.3851.648Dagana50157.3550.169Lhamoizingkha51420.5951.4210Dangdung51487.1651.4911Panbang4965349.6512Tingtibi49828.6649.83",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,48100.47,48.1
2,Sarpang,48160.65,48.16
3,Dagapela,49690.67,49.69
4,Tsirang,49197.29,49.2
5,Zhemgang,52293.49,52.29
6,Trongsa,51284.31,51.28
7,Bumthang,51642.38,51.64
8,Dagana,50157.35,50.16
9,Lhamoizingkha,51420.59,51.42
10,Dangdung,51487.16,51.49
11,Panbang,49653,49.65
12,Tingtibi,49828.66,49.83
