"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Samdrup Jongkhar52836.0852.842Nganglam52836.0852.843Wamrong54258.0454.264Trashigang54537.154.545Trashiyangtse55434.3355.436Mongar55598.6955.67Gyelposing55587.6755.598Kanglung54713.4554.719Pemagatshel54132.4454.1310Lhuntse56128.2756.1311Jomotsangkha51543.8751.5412Autsho55774.6155.7713Doksum54817.9954.8214Bhangtar5344453.4415Rangjung54815.3454.82",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52836.08,52.84
2,Nganglam,52836.08,52.84
3,Wamrong,54258.04,54.26
4,Trashigang,54537.1,54.54
5,Trashiyangtse,55434.33,55.43
6,Mongar,55598.69,55.6
7,Gyelposing,55587.67,55.59
8,Kanglung,54713.45,54.71
9,Pemagatshel,54132.44,54.13
10,Lhuntse,56128.27,56.13
11,Jomotsangkha,51543.87,51.54
12,Autsho,55774.61,55.77
13,Doksum,54817.99,54.82
14,Bhangtar,53444,53.44
15,Rangjung,54815.34,54.82
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Samdrup Jongkhar52836.0852.842Nganglam52836.0852.843Wamrong54258.0454.264Trashigang54537.154.545Trashiyangtse55434.3355.436Mongar55598.6955.67Gyelposing55587.6755.598Kanglung54713.4554.719Pemagatshel54132.4454.1310Lhuntse56128.2756.1311Jomotsangkha51543.8751.5412Autsho55774.6155.7713Doksum54817.9954.8214Bhangtar5344453.4415Rangjung54815.3454.82",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52836.08,52.84
2,Nganglam,52836.08,52.84
3,Wamrong,54258.04,54.26
4,Trashigang,54537.1,54.54
5,Trashiyangtse,55434.33,55.43
6,Mongar,55598.69,55.6
7,Gyelposing,55587.67,55.59
8,Kanglung,54713.45,54.71
9,Pemagatshel,54132.44,54.13
10,Lhuntse,56128.27,56.13
11,Jomotsangkha,51543.87,51.54
12,Autsho,55774.61,55.77
13,Doksum,54817.99,54.82
14,Bhangtar,53444,53.44
15,Rangjung,54815.34,54.82
