"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate48691.948.692Nganglam Potonala48685.4248.693Wamrong49935.6849.944Trashigang50362.4550.365Trashiyangtse51122.1351.126Mongar51341.7251.347Gyelposing51441.1751.448Kanglung5041550.419Pemagatshel49854.7349.8510Lhuntse51918.0651.9211Jomotsangkha48691.948.6912Autsho51589.851.5913Doksum50624.2950.6214Bhangtar49299.8249.315Rangjung50598.7850.6",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,48691.9,48.69
2,Nganglam Potonala,48685.42,48.69
3,Wamrong,49935.68,49.94
4,Trashigang,50362.45,50.36
5,Trashiyangtse,51122.13,51.12
6,Mongar,51341.72,51.34
7,Gyelposing,51441.17,51.44
8,Kanglung,50415,50.41
9,Pemagatshel,49854.73,49.85
10,Lhuntse,51918.06,51.92
11,Jomotsangkha,48691.9,48.69
12,Autsho,51589.8,51.59
13,Doksum,50624.29,50.62
14,Bhangtar,49299.82,49.3
15,Rangjung,50598.78,50.6
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-11-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate48691.948.692Nganglam Potonala48685.4248.693Wamrong49935.6849.944Trashigang50362.4550.365Trashiyangtse51122.1351.126Mongar51341.7251.347Gyelposing51441.1751.448Kanglung5041550.419Pemagatshel49854.7349.8510Lhuntse51918.0651.9211Jomotsangkha48691.948.6912Autsho51589.851.5913Doksum50624.2950.6214Bhangtar49299.8249.315Rangjung50598.7850.6",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,48691.9,48.69
2,Nganglam Potonala,48685.42,48.69
3,Wamrong,49935.68,49.94
4,Trashigang,50362.45,50.36
5,Trashiyangtse,51122.13,51.12
6,Mongar,51341.72,51.34
7,Gyelposing,51441.17,51.44
8,Kanglung,50415,50.41
9,Pemagatshel,49854.73,49.85
10,Lhuntse,51918.06,51.92
11,Jomotsangkha,48691.9,48.69
12,Autsho,51589.8,51.59
13,Doksum,50624.29,50.62
14,Bhangtar,49299.82,49.3
15,Rangjung,50598.78,50.6
