"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-10-16#StationRSP/KLRSP/L1Gelephu Town48148.5948.152Sarpang48208.8348.213Dagapela49739.0549.744Tsirang49245.7149.255Zhemgang52341.9452.346Trongsa51332.7551.337Bumthang5169151.698Dagana50205.7950.219Lhamoizingkha51382.3251.3810Dangdung51535.4351.5411Panbang49701.1249.712Tingtibi49876.8649.88",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,48148.59,48.15
2,Sarpang,48208.83,48.21
3,Dagapela,49739.05,49.74
4,Tsirang,49245.71,49.25
5,Zhemgang,52341.94,52.34
6,Trongsa,51332.75,51.33
7,Bumthang,51691,51.69
8,Dagana,50205.79,50.21
9,Lhamoizingkha,51382.32,51.38
10,Dangdung,51535.43,51.54
11,Panbang,49701.12,49.7
12,Tingtibi,49876.86,49.88
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-10-16#StationRSP/KLRSP/L1Gelephu Town48148.5948.152Sarpang48208.8348.213Dagapela49739.0549.744Tsirang49245.7149.255Zhemgang52341.9452.346Trongsa51332.7551.337Bumthang5169151.698Dagana50205.7950.219Lhamoizingkha51382.3251.3810Dangdung51535.4351.5411Panbang49701.1249.712Tingtibi49876.8649.88",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,48148.59,48.15
2,Sarpang,48208.83,48.21
3,Dagapela,49739.05,49.74
4,Tsirang,49245.71,49.25
5,Zhemgang,52341.94,52.34
6,Trongsa,51332.75,51.33
7,Bumthang,51691,51.69
8,Dagana,50205.79,50.21
9,Lhamoizingkha,51382.32,51.38
10,Dangdung,51535.43,51.54
11,Panbang,49701.12,49.7
12,Tingtibi,49876.86,49.88
