"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-10-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost47904.3547.92Sarpang48224.9848.223Dagapela49493.4949.494Tsirang48999.98495Zhemgang49682.2149.686Trongsa50657.7950.667Bumthang51444.2451.448Dagana49959.9149.969Lhamoizingkha48909.8248.9110Dangdung51290.4351.2911Panbang49456.8849.4612Tingtibi49055.5249.06",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,47904.35,47.9
2,Sarpang,48224.98,48.22
3,Dagapela,49493.49,49.49
4,Tsirang,48999.98,49
5,Zhemgang,49682.21,49.68
6,Trongsa,50657.79,50.66
7,Bumthang,51444.24,51.44
8,Dagana,49959.91,49.96
9,Lhamoizingkha,48909.82,48.91
10,Dangdung,51290.43,51.29
11,Panbang,49456.88,49.46
12,Tingtibi,49055.52,49.06
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-10-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost47904.3547.92Sarpang48224.9848.223Dagapela49493.4949.494Tsirang48999.98495Zhemgang49682.2149.686Trongsa50657.7950.667Bumthang51444.2451.448Dagana49959.9149.969Lhamoizingkha48909.8248.9110Dangdung51290.4351.2911Panbang49456.8849.4612Tingtibi49055.5249.06",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,47904.35,47.9
2,Sarpang,48224.98,48.22
3,Dagapela,49493.49,49.49
4,Tsirang,48999.98,49
5,Zhemgang,49682.21,49.68
6,Trongsa,50657.79,50.66
7,Bumthang,51444.24,51.44
8,Dagana,49959.91,49.96
9,Lhamoizingkha,48909.82,48.91
10,Dangdung,51290.43,51.29
11,Panbang,49456.88,49.46
12,Tingtibi,49055.52,49.06
