"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-10-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate48437.1448.442Nganglam Potonala48482.0648.483Wamrong49679.0349.684Trashigang50107.3650.115Trashiyangtse50865.5850.876Mongar51085.7651.097Gyelposing51186.3851.198Kanglung50158.650.169Pemagatshel49598.5549.610Lhuntse51662.651.6611Jomotsangkha48437.1448.4412Autsho51334.6151.3313Doksum50369.0150.3714Bhangtar49045.0649.0515Rangjung50343.2550.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,48437.14,48.44
2,Nganglam Potonala,48482.06,48.48
3,Wamrong,49679.03,49.68
4,Trashigang,50107.36,50.11
5,Trashiyangtse,50865.58,50.87
6,Mongar,51085.76,51.09
7,Gyelposing,51186.38,51.19
8,Kanglung,50158.6,50.16
9,Pemagatshel,49598.55,49.6
10,Lhuntse,51662.6,51.66
11,Jomotsangkha,48437.14,48.44
12,Autsho,51334.61,51.33
13,Doksum,50369.01,50.37
14,Bhangtar,49045.06,49.05
15,Rangjung,50343.25,50.34
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-10-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate48437.1448.442Nganglam Potonala48482.0648.483Wamrong49679.0349.684Trashigang50107.3650.115Trashiyangtse50865.5850.876Mongar51085.7651.097Gyelposing51186.3851.198Kanglung50158.650.169Pemagatshel49598.5549.610Lhuntse51662.651.6611Jomotsangkha48437.1448.4412Autsho51334.6151.3313Doksum50369.0150.3714Bhangtar49045.0649.0515Rangjung50343.2550.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,48437.14,48.44
2,Nganglam Potonala,48482.06,48.48
3,Wamrong,49679.03,49.68
4,Trashigang,50107.36,50.11
5,Trashiyangtse,50865.58,50.87
6,Mongar,51085.76,51.09
7,Gyelposing,51186.38,51.19
8,Kanglung,50158.6,50.16
9,Pemagatshel,49598.55,49.6
10,Lhuntse,51662.6,51.66
11,Jomotsangkha,48437.14,48.44
12,Autsho,51334.61,51.33
13,Doksum,50369.01,50.37
14,Bhangtar,49045.06,49.05
15,Rangjung,50343.25,50.34
