"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-09-01#StationRSP/KLRSP/L1Phuentsholing53509.4453.512Rinchending53589.953.593Pasakha53643.5453.644Chimakothi5482454.825Lungtenzampa55293.7255.296Paro Town55278.555.287Haa55968.5155.978Bajo Town55597.6555.69Beychu55821.1555.8210Samtse Town53409.5953.4111Sipsoo54646.6954.6512Gomtu53369.253.3713Gedu54412.2654.4114Lobesa55497.4755.515Khuruthang55577.9355.5816Gasa56762.9156.76",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,53509.44,53.51
2,Rinchending,53589.9,53.59
3,Pasakha,53643.54,53.64
4,Chimakothi,54824,54.82
5,Lungtenzampa,55293.72,55.29
6,Paro Town,55278.5,55.28
7,Haa,55968.51,55.97
8,Bajo Town,55597.65,55.6
9,Beychu,55821.15,55.82
10,Samtse Town,53409.59,53.41
11,Sipsoo,54646.69,54.65
12,Gomtu,53369.2,53.37
13,Gedu,54412.26,54.41
14,Lobesa,55497.47,55.5
15,Khuruthang,55577.93,55.58
16,Gasa,56762.91,56.76
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2020-09-01#StationRSP/KLRSP/L1Phuentsholing53509.4453.512Rinchending53589.953.593Pasakha53643.5453.644Chimakothi5482454.825Lungtenzampa55293.7255.296Paro Town55278.555.287Haa55968.5155.978Bajo Town55597.6555.69Beychu55821.1555.8210Samtse Town53409.5953.4111Sipsoo54646.6954.6512Gomtu53369.253.3713Gedu54412.2654.4114Lobesa55497.4755.515Khuruthang55577.9355.5816Gasa56762.9156.76",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,53509.44,53.51
2,Rinchending,53589.9,53.59
3,Pasakha,53643.54,53.64
4,Chimakothi,54824,54.82
5,Lungtenzampa,55293.72,55.29
6,Paro Town,55278.5,55.28
7,Haa,55968.51,55.97
8,Bajo Town,55597.65,55.6
9,Beychu,55821.15,55.82
10,Samtse Town,53409.59,53.41
11,Sipsoo,54646.69,54.65
12,Gomtu,53369.2,53.37
13,Gedu,54412.26,54.41
14,Lobesa,55497.47,55.5
15,Khuruthang,55577.93,55.58
16,Gasa,56762.91,56.76
