"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-09-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate53895.4153.92Nganglam Potonala53940.4553.943Wamrong55328.3655.334Trashigang55598.3155.65Trashiyangtse56504.0356.56Mongar56664.9856.667Gyelposing56647.1556.658Kanglung55782.2955.789Pemagatshel5520055.210Lhuntse57191.6757.1911Jomotsangkha53895.4153.912Autsho56836.4556.8413Doksum55880.3755.8814Bhangtar54503.3354.515Rangjung55879.1355.88",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,53895.41,53.9
2,Nganglam Potonala,53940.45,53.94
3,Wamrong,55328.36,55.33
4,Trashigang,55598.31,55.6
5,Trashiyangtse,56504.03,56.5
6,Mongar,56664.98,56.66
7,Gyelposing,56647.15,56.65
8,Kanglung,55782.29,55.78
9,Pemagatshel,55200,55.2
10,Lhuntse,57191.67,57.19
11,Jomotsangkha,53895.41,53.9
12,Autsho,56836.45,56.84
13,Doksum,55880.37,55.88
14,Bhangtar,54503.33,54.5
15,Rangjung,55879.13,55.88
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-09-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate53895.4153.92Nganglam Potonala53940.4553.943Wamrong55328.3655.334Trashigang55598.3155.65Trashiyangtse56504.0356.56Mongar56664.9856.667Gyelposing56647.1556.658Kanglung55782.2955.789Pemagatshel5520055.210Lhuntse57191.6757.1911Jomotsangkha53895.4153.912Autsho56836.4556.8413Doksum55880.3755.8814Bhangtar54503.3354.515Rangjung55879.1355.88",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,53895.41,53.9
2,Nganglam Potonala,53940.45,53.94
3,Wamrong,55328.36,55.33
4,Trashigang,55598.31,55.6
5,Trashiyangtse,56504.03,56.5
6,Mongar,56664.98,56.66
7,Gyelposing,56647.15,56.65
8,Kanglung,55782.29,55.78
9,Pemagatshel,55200,55.2
10,Lhuntse,57191.67,57.19
11,Jomotsangkha,53895.41,53.9
12,Autsho,56836.45,56.84
13,Doksum,55880.37,55.88
14,Bhangtar,54503.33,54.5
15,Rangjung,55879.13,55.88
