"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-08-16#StationRSP/KLRSP/L1Phuentsholing55279.7855.282Rinchending55360.2455.363Pasakha55413.8855.414Chimakothi56792.1756.795Chubachu57248.7457.256Paro Shaba57249.8657.257Haa58012.7858.018Wangdue Zero Point57461.4257.469Beychu57684.9257.6810Samtse Checkpost55180.955.1811Sipsoo56439.1456.4412Pagli55139.7155.1413Gedu56384.0156.3814Mitsina57372.0257.3715Khuruthang57437.1257.4416Gasa58791.4458.7917Dorokha56133.3756.1318Langdru (Khasadrapchu)57096.7657.1",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55279.78,55.28
2,Rinchending,55360.24,55.36
3,Pasakha,55413.88,55.41
4,Chimakothi,56792.17,56.79
5,Chubachu,57248.74,57.25
6,Paro Shaba,57249.86,57.25
7,Haa,58012.78,58.01
8,Wangdue Zero Point,57461.42,57.46
9,Beychu,57684.92,57.68
10,Samtse Checkpost,55180.9,55.18
11,Sipsoo,56439.14,56.44
12,Pagli,55139.71,55.14
13,Gedu,56384.01,56.38
14,Mitsina,57372.02,57.37
15,Khuruthang,57437.12,57.44
16,Gasa,58791.44,58.79
17,Dorokha,56133.37,56.13
18,Langdru (Khasadrapchu),57096.76,57.1
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-08-16#StationRSP/KLRSP/L1Phuentsholing55279.7855.282Rinchending55360.2455.363Pasakha55413.8855.414Chimakothi56792.1756.795Chubachu57248.7457.256Paro Shaba57249.8657.257Haa58012.7858.018Wangdue Zero Point57461.4257.469Beychu57684.9257.6810Samtse Checkpost55180.955.1811Sipsoo56439.1456.4412Pagli55139.7155.1413Gedu56384.0156.3814Mitsina57372.0257.3715Khuruthang57437.1257.4416Gasa58791.4458.7917Dorokha56133.3756.1318Langdru (Khasadrapchu)57096.7657.1",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55279.78,55.28
2,Rinchending,55360.24,55.36
3,Pasakha,55413.88,55.41
4,Chimakothi,56792.17,56.79
5,Chubachu,57248.74,57.25
6,Paro Shaba,57249.86,57.25
7,Haa,58012.78,58.01
8,Wangdue Zero Point,57461.42,57.46
9,Beychu,57684.92,57.68
10,Samtse Checkpost,55180.9,55.18
11,Sipsoo,56439.14,56.44
12,Pagli,55139.71,55.14
13,Gedu,56384.01,56.38
14,Mitsina,57372.02,57.37
15,Khuruthang,57437.12,57.44
16,Gasa,58791.44,58.79
17,Dorokha,56133.37,56.13
18,Langdru (Khasadrapchu),57096.76,57.1
