"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-08-01#StationRSP/KLRSP/L1Samdrup Jongkhar53059.7553.062Nganglam53059.7553.063Wamrong54335.9854.344Trashigang54735.8554.745Trashiyangtse55520.5855.526Mongar55730.1155.737Gyelposing55809.4455.818Kanglung54810.9554.819Pemagatshel54246.954.2510Lhuntse56297.9456.311Jomotsangkha51720.2451.7212Autsho55965.0555.9713Doksum55001.165514Bhangtar53667.6753.6715Rangjung54979.8254.98",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,53059.75,53.06
2,Nganglam,53059.75,53.06
3,Wamrong,54335.98,54.34
4,Trashigang,54735.85,54.74
5,Trashiyangtse,55520.58,55.52
6,Mongar,55730.11,55.73
7,Gyelposing,55809.44,55.81
8,Kanglung,54810.95,54.81
9,Pemagatshel,54246.9,54.25
10,Lhuntse,56297.94,56.3
11,Jomotsangkha,51720.24,51.72
12,Autsho,55965.05,55.97
13,Doksum,55001.16,55
14,Bhangtar,53667.67,53.67
15,Rangjung,54979.82,54.98
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-08-01#StationRSP/KLRSP/L1Samdrup Jongkhar53059.7553.062Nganglam53059.7553.063Wamrong54335.9854.344Trashigang54735.8554.745Trashiyangtse55520.5855.526Mongar55730.1155.737Gyelposing55809.4455.818Kanglung54810.9554.819Pemagatshel54246.954.2510Lhuntse56297.9456.311Jomotsangkha51720.2451.7212Autsho55965.0555.9713Doksum55001.165514Bhangtar53667.6753.6715Rangjung54979.8254.98",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,53059.75,53.06
2,Nganglam,53059.75,53.06
3,Wamrong,54335.98,54.34
4,Trashigang,54735.85,54.74
5,Trashiyangtse,55520.58,55.52
6,Mongar,55730.11,55.73
7,Gyelposing,55809.44,55.81
8,Kanglung,54810.95,54.81
9,Pemagatshel,54246.9,54.25
10,Lhuntse,56297.94,56.3
11,Jomotsangkha,51720.24,51.72
12,Autsho,55965.05,55.97
13,Doksum,55001.16,55
14,Bhangtar,53667.67,53.67
15,Rangjung,54979.82,54.98
