"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-08-01#StationRSP/KLRSP/L1Samdrup Jongkhar52394.0852.392Nganglam52394.0852.393Wamrong53811.4553.814Trashigang54094.3254.095Trashiyangtse54988.0154.996Mongar55153.7855.157Gyelposing55145.6155.158Kanglung54267.4854.279Pemagatshel5368753.6910Lhuntse55684.5755.6811Jomotsangkha51051.2851.0512Autsho55331.5655.3313Doksum54374.7254.3714Bhangtar530025315Rangjung54371.4754.37",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52394.08,52.39
2,Nganglam,52394.08,52.39
3,Wamrong,53811.45,53.81
4,Trashigang,54094.32,54.09
5,Trashiyangtse,54988.01,54.99
6,Mongar,55153.78,55.15
7,Gyelposing,55145.61,55.15
8,Kanglung,54267.48,54.27
9,Pemagatshel,53687,53.69
10,Lhuntse,55684.57,55.68
11,Jomotsangkha,51051.28,51.05
12,Autsho,55331.56,55.33
13,Doksum,54374.72,54.37
14,Bhangtar,53002,53
15,Rangjung,54371.47,54.37
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-08-01#StationRSP/KLRSP/L1Samdrup Jongkhar52394.0852.392Nganglam52394.0852.393Wamrong53811.4553.814Trashigang54094.3254.095Trashiyangtse54988.0154.996Mongar55153.7855.157Gyelposing55145.6155.158Kanglung54267.4854.279Pemagatshel5368753.6910Lhuntse55684.5755.6811Jomotsangkha51051.2851.0512Autsho55331.5655.3313Doksum54374.7254.3714Bhangtar530025315Rangjung54371.4754.37",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,52394.08,52.39
2,Nganglam,52394.08,52.39
3,Wamrong,53811.45,53.81
4,Trashigang,54094.32,54.09
5,Trashiyangtse,54988.01,54.99
6,Mongar,55153.78,55.15
7,Gyelposing,55145.61,55.15
8,Kanglung,54267.48,54.27
9,Pemagatshel,53687,53.69
10,Lhuntse,55684.57,55.68
11,Jomotsangkha,51051.28,51.05
12,Autsho,55331.56,55.33
13,Doksum,54374.72,54.37
14,Bhangtar,53002,53
15,Rangjung,54371.47,54.37
