"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost48453.6248.452Sarpang48774.9448.773Dagapela50045.7250.054Tsirang49552.649.555Zhemgang50235.2850.246Trongsa51210.6651.217Bumthang51999.17528Dagana50512.8850.519Lhamoizingkha49459.1449.4610Dangdung51841.4151.8411Panbang50006.1550.0112Tingtibi49605.6949.61",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,48453.62,48.45
2,Sarpang,48774.94,48.77
3,Dagapela,50045.72,50.05
4,Tsirang,49552.6,49.55
5,Zhemgang,50235.28,50.24
6,Trongsa,51210.66,51.21
7,Bumthang,51999.17,52
8,Dagana,50512.88,50.51
9,Lhamoizingkha,49459.14,49.46
10,Dangdung,51841.41,51.84
11,Panbang,50006.15,50.01
12,Tingtibi,49605.69,49.61
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost48453.6248.452Sarpang48774.9448.773Dagapela50045.7250.054Tsirang49552.649.555Zhemgang50235.2850.246Trongsa51210.6651.217Bumthang51999.17528Dagana50512.8850.519Lhamoizingkha49459.1449.4610Dangdung51841.4151.8411Panbang50006.1550.0112Tingtibi49605.6949.61",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,48453.62,48.45
2,Sarpang,48774.94,48.77
3,Dagapela,50045.72,50.05
4,Tsirang,49552.6,49.55
5,Zhemgang,50235.28,50.24
6,Trongsa,51210.66,51.21
7,Bumthang,51999.17,52
8,Dagana,50512.88,50.51
9,Lhamoizingkha,49459.14,49.46
10,Dangdung,51841.41,51.84
11,Panbang,50006.15,50.01
12,Tingtibi,49605.69,49.61
