"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost48035.5848.042Sarpang4837948.383Dagapela49721.9649.724Tsirang49241.3549.245Zhemgang49938.2649.946Trongsa50907.4650.917Bumthang51761.8151.768Dagana50212.7750.219Lhamoizingkha49042.6449.0410Dangdung51478.0851.4811Panbang49588.1149.5912Tingtibi49216.5649.22",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,48035.58,48.04
2,Sarpang,48379,48.38
3,Dagapela,49721.96,49.72
4,Tsirang,49241.35,49.24
5,Zhemgang,49938.26,49.94
6,Trongsa,50907.46,50.91
7,Bumthang,51761.81,51.76
8,Dagana,50212.77,50.21
9,Lhamoizingkha,49042.64,49.04
10,Dangdung,51478.08,51.48
11,Panbang,49588.11,49.59
12,Tingtibi,49216.56,49.22
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost48035.5848.042Sarpang4837948.383Dagapela49721.9649.724Tsirang49241.3549.245Zhemgang49938.2649.946Trongsa50907.4650.917Bumthang51761.8151.768Dagana50212.7750.219Lhamoizingkha49042.6449.0410Dangdung51478.0851.4811Panbang49588.1149.5912Tingtibi49216.5649.22",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,48035.58,48.04
2,Sarpang,48379,48.38
3,Dagapela,49721.96,49.72
4,Tsirang,49241.35,49.24
5,Zhemgang,49938.26,49.94
6,Trongsa,50907.46,50.91
7,Bumthang,51761.81,51.76
8,Dagana,50212.77,50.21
9,Lhamoizingkha,49042.64,49.04
10,Dangdung,51478.08,51.48
11,Panbang,49588.11,49.59
12,Tingtibi,49216.56,49.22
