"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Samdrup Jongkhar49030.0249.032Nganglam49030.0249.033Wamrong50276.3150.284Trashigang5070150.75Trashiyangtse51462.6251.466Mongar51681.4351.687Gyelposing51779.3251.788Kanglung50755.2950.769Pemagatshel50194.7350.1910Lhuntse52257.1152.2611Jomotsangkha47690.4947.6912Autsho51928.4951.9313Doksum50963.1150.9614Bhangtar49602.3349.615Rangjung50937.9250.94",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,49030.02,49.03
2,Nganglam,49030.02,49.03
3,Wamrong,50276.31,50.28
4,Trashigang,50701,50.7
5,Trashiyangtse,51462.62,51.46
6,Mongar,51681.43,51.68
7,Gyelposing,51779.32,51.78
8,Kanglung,50755.29,50.76
9,Pemagatshel,50194.73,50.19
10,Lhuntse,52257.11,52.26
11,Jomotsangkha,47690.49,47.69
12,Autsho,51928.49,51.93
13,Doksum,50963.11,50.96
14,Bhangtar,49602.33,49.6
15,Rangjung,50937.92,50.94
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Samdrup Jongkhar49030.0249.032Nganglam49030.0249.033Wamrong50276.3150.284Trashigang5070150.75Trashiyangtse51462.6251.466Mongar51681.4351.687Gyelposing51779.3251.788Kanglung50755.2950.769Pemagatshel50194.7350.1910Lhuntse52257.1152.2611Jomotsangkha47690.4947.6912Autsho51928.4951.9313Doksum50963.1150.9614Bhangtar49602.3349.615Rangjung50937.9250.94",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,49030.02,49.03
2,Nganglam,49030.02,49.03
3,Wamrong,50276.31,50.28
4,Trashigang,50701,50.7
5,Trashiyangtse,51462.62,51.46
6,Mongar,51681.43,51.68
7,Gyelposing,51779.32,51.78
8,Kanglung,50755.29,50.76
9,Pemagatshel,50194.73,50.19
10,Lhuntse,52257.11,52.26
11,Jomotsangkha,47690.49,47.69
12,Autsho,51928.49,51.93
13,Doksum,50963.11,50.96
14,Bhangtar,49602.33,49.6
15,Rangjung,50937.92,50.94
