"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Samdrup Jongkhar48639.1948.642Nganglam48639.1948.643Wamrong50017.650.024Trashigang50332.7650.335Trashiyangtse51196.3851.26Mongar51374.2351.377Gyelposing51390.2251.398Kanglung50478.8550.489Pemagatshel49902.9149.910Lhuntse51915.2451.9211Jomotsangkha47296.3847.312Autsho51567.7951.5713Doksum5060950.6114Bhangtar49198.4849.215Rangjung50600.7650.6",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,48639.19,48.64
2,Nganglam,48639.19,48.64
3,Wamrong,50017.6,50.02
4,Trashigang,50332.76,50.33
5,Trashiyangtse,51196.38,51.2
6,Mongar,51374.23,51.37
7,Gyelposing,51390.22,51.39
8,Kanglung,50478.85,50.48
9,Pemagatshel,49902.91,49.9
10,Lhuntse,51915.24,51.92
11,Jomotsangkha,47296.38,47.3
12,Autsho,51567.79,51.57
13,Doksum,50609,50.61
14,Bhangtar,49198.48,49.2
15,Rangjung,50600.76,50.6
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-06-16#StationRSP/KLRSP/L1Samdrup Jongkhar48639.1948.642Nganglam48639.1948.643Wamrong50017.650.024Trashigang50332.7650.335Trashiyangtse51196.3851.26Mongar51374.2351.377Gyelposing51390.2251.398Kanglung50478.8550.489Pemagatshel49902.9149.910Lhuntse51915.2451.9211Jomotsangkha47296.3847.312Autsho51567.7951.5713Doksum5060950.6114Bhangtar49198.4849.215Rangjung50600.7650.6",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,48639.19,48.64
2,Nganglam,48639.19,48.64
3,Wamrong,50017.6,50.02
4,Trashigang,50332.76,50.33
5,Trashiyangtse,51196.38,51.2
6,Mongar,51374.23,51.37
7,Gyelposing,51390.22,51.39
8,Kanglung,50478.85,50.48
9,Pemagatshel,49902.91,49.9
10,Lhuntse,51915.24,51.92
11,Jomotsangkha,47296.38,47.3
12,Autsho,51567.79,51.57
13,Doksum,50609,50.61
14,Bhangtar,49198.48,49.2
15,Rangjung,50600.76,50.6
