"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-06-01#StationRSP/KLRSP/L1Phuentsholing47982.9347.982Rinchending48063.3948.063Pasakha48117.0348.124Chimakothi49406.0249.415Chubachu49868.5349.876Paro Shaba49862.2749.867Haa50592.2850.598Wangdue Zero Point50122.450.129Beychu50345.950.3510Samtse Checkpost47884.0447.8811Sipsoo49132.3149.1312Pagli47842.8547.8413Gedu48996.244914Mitsina5003350.0315Khuruthang50100.1750.116Gasa51378.0551.3817Dorokha48793.848.7918Langdru (Khasadrapchu)49716.5549.72",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,47982.93,47.98
2,Rinchending,48063.39,48.06
3,Pasakha,48117.03,48.12
4,Chimakothi,49406.02,49.41
5,Chubachu,49868.53,49.87
6,Paro Shaba,49862.27,49.86
7,Haa,50592.28,50.59
8,Wangdue Zero Point,50122.4,50.12
9,Beychu,50345.9,50.35
10,Samtse Checkpost,47884.04,47.88
11,Sipsoo,49132.31,49.13
12,Pagli,47842.85,47.84
13,Gedu,48996.24,49
14,Mitsina,50033,50.03
15,Khuruthang,50100.17,50.1
16,Gasa,51378.05,51.38
17,Dorokha,48793.8,48.79
18,Langdru (Khasadrapchu),49716.55,49.72
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-06-01#StationRSP/KLRSP/L1Phuentsholing47982.9347.982Rinchending48063.3948.063Pasakha48117.0348.124Chimakothi49406.0249.415Chubachu49868.5349.876Paro Shaba49862.2749.867Haa50592.2850.598Wangdue Zero Point50122.450.129Beychu50345.950.3510Samtse Checkpost47884.0447.8811Sipsoo49132.3149.1312Pagli47842.8547.8413Gedu48996.244914Mitsina5003350.0315Khuruthang50100.1750.116Gasa51378.0551.3817Dorokha48793.848.7918Langdru (Khasadrapchu)49716.5549.72",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,47982.93,47.98
2,Rinchending,48063.39,48.06
3,Pasakha,48117.03,48.12
4,Chimakothi,49406.02,49.41
5,Chubachu,49868.53,49.87
6,Paro Shaba,49862.27,49.86
7,Haa,50592.28,50.59
8,Wangdue Zero Point,50122.4,50.12
9,Beychu,50345.9,50.35
10,Samtse Checkpost,47884.04,47.88
11,Sipsoo,49132.31,49.13
12,Pagli,47842.85,47.84
13,Gedu,48996.24,49
14,Mitsina,50033,50.03
15,Khuruthang,50100.17,50.1
16,Gasa,51378.05,51.38
17,Dorokha,48793.8,48.79
18,Langdru (Khasadrapchu),49716.55,49.72
