"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Gelephu Town44104.9144.12Sarpang44180.7144.183Dagapela45761.7445.764Tsirang45277.2145.285Zhemgang48383.4648.386Trongsa47369.9147.377Bumthang47774.5147.778Dagana46245.1346.259Lhamoizingkha48242.9748.2410Dangdung47530.2747.5311Panbang45657.4445.6612Tingtibi45853.5345.85",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,44104.91,44.1
2,Sarpang,44180.71,44.18
3,Dagapela,45761.74,45.76
4,Tsirang,45277.21,45.28
5,Zhemgang,48383.46,48.38
6,Trongsa,47369.91,47.37
7,Bumthang,47774.51,47.77
8,Dagana,46245.13,46.25
9,Lhamoizingkha,48242.97,48.24
10,Dangdung,47530.27,47.53
11,Panbang,45657.44,45.66
12,Tingtibi,45853.53,45.85
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Gelephu Town44104.9144.12Sarpang44180.7144.183Dagapela45761.7445.764Tsirang45277.2145.285Zhemgang48383.4648.386Trongsa47369.9147.377Bumthang47774.5147.778Dagana46245.1346.259Lhamoizingkha48242.9748.2410Dangdung47530.2747.5311Panbang45657.4445.6612Tingtibi45853.5345.85",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,44104.91,44.1
2,Sarpang,44180.71,44.18
3,Dagapela,45761.74,45.76
4,Tsirang,45277.21,45.28
5,Zhemgang,48383.46,48.38
6,Trongsa,47369.91,47.37
7,Bumthang,47774.51,47.77
8,Dagana,46245.13,46.25
9,Lhamoizingkha,48242.97,48.24
10,Dangdung,47530.27,47.53
11,Panbang,45657.44,45.66
12,Tingtibi,45853.53,45.85
