"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost37630.3437.632Sarpang3793837.943Dagapela39164.1839.164Tsirang38663.3238.665Zhemgang39337.2139.346Trongsa40316.4240.327Bumthang41064.2441.068Dagana39616.7239.629Lhamoizingkha38634.938.6310Dangdung40984.3240.9811Panbang39182.8739.1812Tingtibi38764.5538.76",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,37630.34,37.63
2,Sarpang,37938,37.94
3,Dagapela,39164.18,39.16
4,Tsirang,38663.32,38.66
5,Zhemgang,39337.21,39.34
6,Trongsa,40316.42,40.32
7,Bumthang,41064.24,41.06
8,Dagana,39616.72,39.62
9,Lhamoizingkha,38634.9,38.63
10,Dangdung,40984.32,40.98
11,Panbang,39182.87,39.18
12,Tingtibi,38764.55,38.76
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost37630.3437.632Sarpang3793837.943Dagapela39164.1839.164Tsirang38663.3238.665Zhemgang39337.2139.346Trongsa40316.4240.327Bumthang41064.2441.068Dagana39616.7239.629Lhamoizingkha38634.938.6310Dangdung40984.3240.9811Panbang39182.8739.1812Tingtibi38764.5538.76",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,37630.34,37.63
2,Sarpang,37938,37.94
3,Dagapela,39164.18,39.16
4,Tsirang,38663.32,38.66
5,Zhemgang,39337.21,39.34
6,Trongsa,40316.42,40.32
7,Bumthang,41064.24,41.06
8,Dagana,39616.72,39.62
9,Lhamoizingkha,38634.9,38.63
10,Dangdung,40984.32,40.98
11,Panbang,39182.87,39.18
12,Tingtibi,38764.55,38.76
