"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-05-06#StationRSP/KLRSP/L1Samdrup Jongkhar39053.2239.052Nganglam39053.2239.053Wamrong40332.1640.334Trashigang40729.7840.735Trashiyangtse41516.641.526Mongar41725.2941.737Gyelposing41802.9541.88Kanglung40806.7640.819Pemagatshel40242.3940.2410Lhuntse42292.4142.2911Jomotsangkha39996.174012Autsho41959.1441.9613Doksum40995.384114Bhangtar39622.3139.6215Rangjung40974.3840.97",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,39053.22,39.05
2,Nganglam,39053.22,39.05
3,Wamrong,40332.16,40.33
4,Trashigang,40729.78,40.73
5,Trashiyangtse,41516.6,41.52
6,Mongar,41725.29,41.73
7,Gyelposing,41802.95,41.8
8,Kanglung,40806.76,40.81
9,Pemagatshel,40242.39,40.24
10,Lhuntse,42292.41,42.29
11,Jomotsangkha,39996.17,40
12,Autsho,41959.14,41.96
13,Doksum,40995.38,41
14,Bhangtar,39622.31,39.62
15,Rangjung,40974.38,40.97
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-05-06#StationRSP/KLRSP/L1Samdrup Jongkhar39053.2239.052Nganglam39053.2239.053Wamrong40332.1640.334Trashigang40729.7840.735Trashiyangtse41516.641.526Mongar41725.2941.737Gyelposing41802.9541.88Kanglung40806.7640.819Pemagatshel40242.3940.2410Lhuntse42292.4142.2911Jomotsangkha39996.174012Autsho41959.1441.9613Doksum40995.384114Bhangtar39622.3139.6215Rangjung40974.3840.97",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,39053.22,39.05
2,Nganglam,39053.22,39.05
3,Wamrong,40332.16,40.33
4,Trashigang,40729.78,40.73
5,Trashiyangtse,41516.6,41.52
6,Mongar,41725.29,41.73
7,Gyelposing,41802.95,41.8
8,Kanglung,40806.76,40.81
9,Pemagatshel,40242.39,40.24
10,Lhuntse,42292.41,42.29
11,Jomotsangkha,39996.17,40
12,Autsho,41959.14,41.96
13,Doksum,40995.38,41
14,Bhangtar,39622.31,39.62
15,Rangjung,40974.38,40.97
