"#",Station,RSP/KL,RSP/L
1,Phuentsholing,66915.69,66.92
2,Rinchending,66996.15,67
3,Pasakha,67049.79,67.05
4,Chimakothi,68570.48,68.57
5,Chubachu,69017.58,69.02
6,Paro Shaba,69030.46,69.03
7,Haa,69845.87,69.85
8,Wangdue Zero Point,69164.59,69.16
9,Beychu,69388.09,69.39
10,Samtse Checkpost,66475.18,66.48
11,Sipsoo,68090.97,68.09
12,Pagli,66533.02,66.53
13,Gedu,68164.9,68.16
14,Mitsina,69075.19,69.08
15,Khuruthang,69136.99,69.14
16,Gasa,70613.2,70.61
17,Dorokha,67837.39,67.84
18,Langdru (Khasadrapchu),68865.6,68.87
