"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:MS (in KL)Approved Date:2022-02-16
#StationRSP/KLRSP/L
1Samdrup Jongkhar81442.6681.44
2Wamrong83161.4783.16
3Trashigang83194.4583.19
4Trashiyangtse84320.8484.32
5Mongar84393.1884.39
6Gyelposing84198.1384.2
7Kanglung83577.0483.58
8Pemagatshel82961.4882.96
9Lhuntse84844.8484.84
10Jomotsangkha82288.3782.29
11Autsho84448.8884.45
12Doksum83507.0783.51
13Bhangtar82050.5882.05
14Rangjung83542.4983.54",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,81442.66,81.44
2,Wamrong,83161.47,83.16
3,Trashigang,83194.45,83.19
4,Trashiyangtse,84320.84,84.32
5,Mongar,84393.18,84.39
6,Gyelposing,84198.13,84.2
7,Kanglung,83577.04,83.58
8,Pemagatshel,82961.48,82.96
9,Lhuntse,84844.84,84.84
10,Jomotsangkha,82288.37,82.29
11,Autsho,84448.88,84.45
12,Doksum,83507.07,83.51
13,Bhangtar,82050.58,82.05
14,Rangjung,83542.49,83.54
