"NEW PRICI NG DETA ILS
Region:Central RegionProduct:HSD (in KL)Approved Date:2020-03-16
#StationRSP/KLRSP/L
1Gelephu Town47704.1147.7
2Sarpang47763.7947.76
3Dagapela49292.1749.29
4Tsirang48798.5248.8
5Zhemgang51894.3951.89
6Trongsa50885.3650.89
7Bumthang51241.9351.24
8Dagana49758.3249.76
9Lhamoizingkha52752.6952.75
10Dangdung51089.5651.09
11Panbang49256.6449.26
12Tingtibi49431.6549.43",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,47704.11,47.7
2,Sarpang,47763.79,47.76
3,Dagapela,49292.17,49.29
4,Tsirang,48798.52,48.8
5,Zhemgang,51894.39,51.89
6,Trongsa,50885.36,50.89
7,Bumthang,51241.93,51.24
8,Dagana,49758.32,49.76
9,Lhamoizingkha,52752.69,52.75
10,Dangdung,51089.56,51.09
11,Panbang,49256.64,49.26
12,Tingtibi,49431.65,49.43
