#,Region,Company,Product,Date of Approval,Status,Action
1,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
2,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
3,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
4,Western Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
5,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
6,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
7,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
8,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
9,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
10,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
11,Central Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
12,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
13,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
14,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
15,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
16,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
17,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
18,Western Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
19,Western Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,Cylinder),,,
,,,Non-Subsidized LPG,,,
20,Central Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
21,Central Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,Cylinder),,,
,,,Non-Subsidized LPG,,,
22,Eastern Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
23,Eastern Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,Cylinder),,,
,,,Subsidized LPG (No. of,,,
24,Western Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,Cylinder),,,
,,,Subsidized LPG (No. of,,,
25,Central Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,Cylinder),,,
,,,Subsidized LPG (No. of,,,
26,Eastern Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,Cylinder),,,
27,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
28,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
29,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
30,Western Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
31,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
32,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
33,Western Region,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
34,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
35,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
36,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
37,Central Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
38,Central Region,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
39,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
40,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/03/2022,Approved,View & Print
41,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
42,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),16/03/2022,Approved,View & Print
43,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/03/2022,Approved,View & Print
44,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),06/03/2022,Approved,View & Print
45,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),06/03/2022,Approved,View & Print
46,Central Region,Indian Oil Corporation Limited,HSD (in KL),06/03/2022,Approved,View & Print
47,Central Region,Indian Oil Corporation Limited,MS (in KL),06/03/2022,Approved,View & Print
48,Central Region,Indian Oil Corporation Limited,SKO (in KL),06/03/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
49,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Subsidized LPG (No. of,,,
50,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,Cylinder),,,
,,,Commercial LPG (No. of,,,
51,Central Region,Indian Oil Corporation Limited,,06/03/2022,Approved,View & Print
,,,Cylinder),,,
52,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
53,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
54,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
55,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
56,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/03/2022,Approved,View & Print
57,Western Region,Indian Oil Corporation Limited,MS (in KL),01/03/2022,Approved,View & Print
58,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/03/2022,Approved,View & Print
