#,Region,Company,Product,Date of Approval,Status,Action
1,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
2,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
3,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
4,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
5,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
6,Western Region,Indian Oil Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
7,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
8,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
9,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
10,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
11,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
12,Central Region,Indian Oil Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
13,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
14,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
15,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/04/2022,Approved,View & Print
16,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/04/2022,Approved,View & Print
17,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
18,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
19,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
20,Western Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
21,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
22,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
23,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
24,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
25,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
26,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
27,Central Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
28,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
29,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
30,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
31,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/04/2022,Approved,View & Print
32,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/04/2022,Approved,View & Print
33,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/04/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
34,Western Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
35,Western Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Non-Subsidized LPG,,,
36,Central Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
37,Central Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Non-Subsidized LPG,,,
38,Eastern Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No.,,,
39,Eastern Region,Indian Oil Corporation Limited,,01/04/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Subsidized LPG (No.,,,
40,Western Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Subsidized LPG (No.,,,
41,Central Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,of Cylinder),,,
,,,Subsidized LPG (No.,,,
42,Eastern Region,Indian Oil Corporation Limited,,22/03/2022,Approved,View & Print
,,,of Cylinder),,,
