Station,RSP/KL,RSP/L
Phuentsholing,98497.76,98.5
Rinchending,98578.22,98.58
Pasakha,98631.86,98.63
Chimakothi,100206.55,100.21
Lungtenzampa,100650.06,100.65
Paro Town,100667.39,100.67
Haa,101502.7,101.5
Bajo Town,100772.16,100.77
Beychu,101085.06,101.09
Samtse Town,98001.89,98
Sipsoo,99702.4,99.7
Gomtu,98060.23,98.06
Gedu,99801.95,99.8
Khuruthang,100743.31,100.74
Gasa,102265.75,102.27
Motithang,100650.06,100.65
Olakha,100650.06,100.65
Paro NIE Bridge,100667.39,100.67
Langlitsawa,101040.36,101.04
Wangdue Zero Point,100772.16,100.77
Phuentsholing Main gate,98497.76,98.5
